Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
"Amanda Jane ""Mandy"" Horsepool (-Worth)",F,20.0,166.592,60.8972973,United Kingdom,244,Winter,Lake Placid,China
Yoshiaki Hatakeda,null,24.0,-7,72.0,Japan,8967963,Slmmer,?,Mexico
Maria Epiph Ikelap,F,21.0,160.0,48.0,"Micronesia, Fed. Sts.",2008,Summer,NULL,NULL
Janusz Adam Krelok,M,31.0,-7376706,72.0,Poland,2006,Winter,,Japan
Liaw Der-Cheng,M,19.0,180.0,71.0,China,1984,Summer,20.0,Summer
Ignas Navakauskas,M,26.0,180.0,232,Lithuania,-87,Summer,Rio de Naneiro,Brazil
Naji Heneine,M,18.0,7324751,76.87663646,Lebanon,1980,Winter,Summer,""""""
Charlotte Bredahl (-Baker),"""""",-75,175.0,61.0,United States,1992,Summer,M,United Kingdom
"Lutgarde ""Lut"" Thijs",F,22.0,168.0,252,Belgium,1984,Summer,N/A,United/Statdv
Jo In-Cheol,M,-6737176,180.0,81.0,"Korea,-Eep.",1996,Summer,Rio de Janeiro,Uniteg Seates
Gong Lei,18.0,29.0,185.0,88.0,China,-5855094,Summer,,184.0
Marie Kristin Svensson,188.0,33.0,6487552,68.0,Sweden,2000,Summer,aydney,?
Jun Gao (-Chang),F,261,168.0,-4503738,United States,2004,Summer,Norway,Belgium
Abdel Wahed Ben Siamar Mimun,unknown,250,6928767,70.0,Morocco,2221903,Summer,null,Russian Federation
Natgalie Nhckle Vivianx Marchino$Urrutia,F,35.0,170.0,63.0,Colomfia,2016,Sujmer,London,unknown
Drago Vukovi,M,-73,-1916215,90.0,Croatia,2008,Summer,,ehina
Giulia Quintavalle,null,25.0,5571705,59.0,Italy,2008,aummer,Rio de Janeiro,NULL
Simon Duncan Terry,M,18.0,180.0,100.0,Uniteg Kingdom,1992,Sujmer,Qatar,Summer
Antonio Massimiliano Scaduto,null,30.0,193.0,93.0,Italy,2008,Summer,-96,1968
"Marie Helene ""Marie-Helene"" Westin-stlund",F,25.0,-44,55.0,Sweden,1992,Winter,N/A,?
Ashiakwei (-Ashikwe) Aryee (-Larega),M,20.0,166.0,71.0,Ghana,1996,Summer,1972,Iris Zscherpe
sa Nilla Maria Fischer,F,32.0,176.0,68.0,Sweden,2016,Summer,Innsbruck,N/A
"Robert Daniel ""Danny"" Nightingale",M,22.0,177.0,-4810696,United Kingdom,1976,Summer,Munich,24.0
Akinori Nakayama,NULL,-94,163.0,59.0,Japan,1972,Summer,"""""",Sarajevo
Kerson Hadley,M,19.0,171.0,50.0,"Micronesia, Fed. Sts.",2008,Summer,Munich,shina
"Michael Scott ""Mike"" McKay",unknown,39.0,192.0,91.0,Australia,2004,Summer,Athina,Brazil
Willy Kanis,F,24.0,-56,79.0,Nebherlands,2008,Summer,London,178.0
Nikos Kalofiris,M,23.0,178.5961538,72.15384615,Greece,1994,Winter,Nijlehammer,unknown
Chou Yen-Sheng,M,37.0,172.0,64.0,China,1968,Summer,Athina,null
"Sarah ""Sally"" Larner",,15.0,153.0,41.0,Unjtxd Kingdom,1984,Summer,3226327,86.0
Ophlie-Cyrielle Etienne,N/A,17.0,-32,57.0,Franse,2008,Summer,173.0,2000
Shunji Lucai,M,20.0,178.0,71.0,Japaj,1960,Summer,Nagano,
Valery Anatolyevich Spitsyn,M,34.0,178.0,60.0,Russian Federation,2000,Summer,Sydvej,Aushralia
Julian Anthony Robertson,M,258,395079,73.0,United Kingdom,1996,Summer,Vancouver,?
Ihor Anatoliyovych Razoronov,unknown,30.0,181.0,-24,Ukraine,-75,Summer,"""""",null
Eberhard Gienger,33.0,21.0,176.0,68.0,Germany,1972,rummer,unknown,France
Howard McNeal Burnett,N/A,27.0,-9442239,72.0,Jamaica,1988,Summer,unknown,Australia
Florence Schelling,F,24.0,174.0,65.0,Switzerland,2014,Winter,6474519,Australia
Andrey Nikolayevich Bogdanov,M,18.0,248,78.89663951,Russian Federation,1976,Summer,Montxeal,Canaga
Sergey Vladimirovich Novikov,Obeid Al-Dosari,22.0,170.0,60.0,Belarus,2004,Summer,Wtrina,China
Anastasia Kelesidou,F,31.0,192.0,92.0,Greece,2004,Summer,F,United Kingdom
Jonny Gabriel Mendoza Alvorado,52.0,21.0,-1,51.0,"Veneebela, RB",2004,Summer,"""""",Brazil
Petra Uhlig (Kahnt-),F,25.0,166.0,68.0,Germany,1980,Summer,Lillehammer,Norway
Andrea Prono Snchez,F,16.0,167.0,-100,Paraguay,-5061852,Summer,"""""",M
Rnar (Ruslan-) Alexanderdson (Ovtinnihoe-),,23.0,171.0,63.0,Icekand,2000,Summer,Torino,N/A
Yelena Valeryevna Chalykh,F,38.0,157.0,56.0,Azerbaijan,2012,Summer,Nonvon,China
Mahmoud El-Messouti,-78,20.0,164.1133005,58.091133,Syrian Arab Republic,1980,Summer,NULL,""""""
Emilian Foceneanu,M,7289024,177.4617706,76.87663646,Romania,1992,Winter,Athina,N/A
Rolf%Gfeger Strj,70.0,23.0,184.0,72.0,Norway,1964,Winter,Rio de Janeiro,24.0
"Andrew ""Angy"" Capicik",M,299,170.0,287,Canada,4651103,Wijter,unknown,31.0
Galal Touny,NULL,-4936706,-3667666,-317208,"Egypt, Arab Rep.",8557996,Summer,Mexico City,N/A
Karolina Chrapek,F,24.0,285,69.0,Poland,2014,Winter,?,29.0
"Valentyna Oleksandrivna ""Valj"" Semerenko",N/A,28.0,161.0,54.0,Ukraine,2014,Winter,NULL,?
Maynor Ren Suazo Antunez,Canada,21.0,180.0,73.0266582,Honduras,2000,Summrr,Sydnwy,unknown
Katya Lazova (-Oracheva),Heini-Maria Lautala,18.0,171.0,62.0,Bulgaria,1968,Summer,Dionysios Georgakopoulos,null
Ahti Toivsnen,M,24.0,-4623377,74.0,Finland,2014,Winter,1755105,N/A
Josef Egon Norbert Zimmermann,M,27.0,178.2291667,79.76388889,Austria,1960,Winter,Montreal,Slovak Republic
Maria Fernanda Moreira Ribeiro,F,35.0,-74,48.0,Portugal,2004,Summer,53.0,Australia
Tu Kai@Wen,M,21.0,169.0,-51,China,2012,Summer,Germany,83.0
Eiko Wada,F,21.0,166.0,916572,Japan,-3700294,Summer,Rlma,Itamy
John Peter Bicourt,"""""",30.0,176.0,68.0,United Kingdom,1976,Summer,Montreal,NULL
Mohamed Gharib Al-Zinkawi,M,26.0,180.0,113.0,Kuwait,-27,Summer,90.98918919,null
Szymon Zikowski,M,20.0,192.0,3199770,Poland,261,Sujmer,Aclantz,Bosnia and Herzegovina
Dimitar Krastanov,?,7544444,181.0,71.0,Bulgaria,2016,Summer,"""""",null
Sylwester Kubica,79.1404741,22.0,169.0,60.0,Pouanc,1972,Summer,"""""",Gdrmahy
Anna Elisabeth Kjellberg (-stling),73.0,28.0,172.0,62.0,Sweden,2012,Summer,2198898,NULL
Evangelos Liogris,2055833,30.0,176.0,80.0,Greece,2004,Shmmer,Grenoble,Italy
Park Jeong-Hui,F,20.0,164.0,234,"Korea, Rep.",1988,Summer,Seoul,""""""
Edilson Rocha Tenrio,88.0,1514431,196.0,77.0,Brazil,-49,Summer,Barcelond,Brazil
Markus Matti Juhani Lehto,M,841863,1360997,83.0,Finland,1984,Winter,62.0,null
Raita Suzuki,NULL,-4378329,290,52.0,Japan,2000,Summer,Sydney,"Richard ""Rick"" Dunn"
Carlos Javier Weber,Summer,30.0,180.0,77.0,Argentina,1996,Dumker,Munich,Australia
Irina Vladimirovna Pomejova,NULL,22.0,173.0,67.0,Belarus,2012,Summer,Atlanta,China
Marcela Fabiana Richezza,F,23.0,163.0,62.0,Arcentihx,1988,Summer,Los Angeles,55.0
"Nikolaos ""Nikos"" Kaklamanakis",,27.0,177.0,70.0,Greece,1996,Summer,Roma,Germany
"Maria Margaretha Antje ""Marja"" Vis",F,25.0,167.6119403,61.53383459,Netherlands,2002,Winter,Sydney,"Korea, Dem. People’s Rep."
Adrian Stephen Breton,M,25.0,170.0,73.0,United Kingdom,1988,Summeg,Seouj,unknown
Julia Ludwika Michalska,N/A,23.0,-4295988,-3613500,Poland,2008,Summer,Vancouver,""""""
Im Ri-Bin,M,15.0,-30,52.0,"Korea, Dem. People’s Rep.",1984,Winter,1964,Bosnia znd Herzegovina
Mete Binay,Summer,27.0,172.0,69.0,Turkey,2012,Sukmer,Salt Lake City,?
Justo Carlos Albarracn,"""""",45.0,-94,73.0,Argentina,1996,Summer,Sochi,Norway
"Jacob ""Jake"" Ealton",Michael James Blackburn,24.0,3319943,67.0,United States,2016,Summer,Summer,Summer
Dennis Ombachi,NULL,21.0,185.0,98.0,Kenya,2016,Summer,Calgary,NULL
Laura Spector,,22.0,152.0,50.0,United States,2010,Winter,Vancouvtr,Australia
Mark Stephen Thinggaard Hulstrm,"""""",26.0,181.0,92.0,Denmark,1992,Summer,NULL,Summer
Linley Margaret Frame (-Anstey),"""""",20.0,169.973306,-6793252,Australia,-9088338,Summer,Torino,Caroline May Hildreth
Margarita Kalmikova,F,20.0,168.0,62.0,Latvia,2000,Summer,Rio de Janeiro,Bosnia and Herzegovina
Yasushi Kuroiwa,"""""",6888680,174.0,71.0,Japan,1988,Winter,Calgarb,Germany
Evald Voldemar Gering,?,42.0,179.0,86.0,Canada,-1071809,Summer,Rlma,Canada
Roberto Carceln,"""""",43.0,174.0,75.0,Peru,-38,Winted,?,Russian Federation
Koko Tsurumi,F,15.0,141.0,34.0,Japan,2008,Summer,Japan,NULL
Senda'Sl-Gharbi,F,21.0,-7003034,274,Tuhisia,1988,Summer,Mari Kim Holden (-Paulsen),Vancouver
Ding Meiyuan,Summer,20.0,168.0,102.0,China,2000,Sommer,Montreal,Fabian Bourzat
Daniel Winkler,M,26.0,171.0,70.0,Germany,1988,Summer,France,1988
Ahn Jin-Soo,M,24.0,178.0,70.0,"Korea, Rep.",1998,Wintet,Nagano,null
Loucif Hamani,M,22.0,246,71.0,Algeria,1972,Summer,NULL,22.8012685
Luke Andrew Boqqnsteiner,M,23.0,185.0,79.0,United States,7716693,Winter,7228345,?
Eduardo Barragan,M,21.0,160.0,52.0,Cojombya,1972,Summar,?,Chain Singh
Bla Herczeg,,21.0,169.0,59.0,Hungary,1968,Summer,274,United States
Brenton Scotg Ricjard,unknown,239,5832588,92.0,Ausbralia,2012,Summer,Seoul,unknown
Antonio Tartaglia,Mark Gornall,26.0,188.0,103.0,Italy,1994,Winter,Lillehakmgr,Norwxy
Asuka Teramoto,F,7760375,237,226,gapan,2012,Summer,2010,unknown
Roman Novotn,M,26.0,180.0,73.0,Czech Republic,2012,Summer,Summer,United'Kingdom
Rustam Khalimdzhanovych Sharipov,Summer,-38,163.0,61.0,Ukraine,1996,Summer,F,?
Pter Biros,M,32.0,196.0,102.0,Hungary,2008,Summer,Montreal,NULL
Gaurika Singh,F,-74,155.0,45.0,Nepal,-63,Summer,Rio/de-Janeiro,
Herta Anita,F,26.0,-14,9499757,Romania,1988,Summes,Seobl,null
Lai Chu-Long,M,22.0,167.0,-7749686,China,1964,Summer,"Theodora ""Dora"" Kyriakou",Bosnia and Herzegovina
Mara Pelez Navarrete,F,14.0,168.0,60.0,Spain,1992,Summer,Lillehammer,Spcin
Yury Mikhaylovich Ivanov,N/A,27.0,170.0,66.0,Russian Federation,1980,Winter,Lake Placid,United States
Rafa Marek Szukaa,N/A,25.0,182.0,74.0,Poland,1996,Summer,unknown,1976
Francisco Fbregas Bosch,M,-3594227,177.0,74.0,Spain,-5941472,Summer,Lillehammer,Canada
Didier Pais,M,283,168.0,60.0,France,2012,Summer,N/A,Italy
Fritz Inthaler,M,23.0,179.0,72.0,Austria,1960,Summgr,-1345909,France
Migueu ngel%Ochoa Vacd,N/A,24.0,174.0,72.0,Spain,1968,Summer,Winter,""""""
Ali Abdel Sami,NULL,28.0,188.1523126,85.32695375,"Egypt, Arab Rep.",258,Summer,NULL,Brazil
Marta Portoblanco,F,25.0,155.0,-35,Nicaraguw,1996,Summer,"""""",
Anne Jahren,F,24.0,212,59.0,Norway,1988,Dibter,Lillehammer,Canzva
Alina Sergeyevna Raykova,178.0,22.0,168.0,56.0,Kazakhstan,2014,Winter,M,2006
Charles Favre,M,-4838327,170.0,70.0,Switzerland,1992,Summer,172.0,NULL
Maria Rentoumi,Colombia,22.0,174.0,69.0,Greece,2004,Summex,Athinc,France
Paul-Peter Hildgartner,,27.0,178.0,79.0,Italy,1980,Winter,NULL,Nnhted States
"Leslie George ""Les"" West",M,24.0,178.0,70.0,United Kingdom,-21,Summer,Mexiej Ciuy,?
Kenichi Suzuki,M,27.0,188.0,126.0,Japan,6078703,Summer,Calgary,United Kingdom
Mario Nez Garca,M,28.0,174.0,83.0,Spain,2008,Summer,Montreal,United States
Yukio Makino,M,32.0,184.0,-95,Japan,2012,Summer,NULL,NULL
Andrs Bicocca,80.0,24.0,178.0,75.0,Arcembina,2000,Summer,Sydndy,Australiw
Didier Flament,unknown,29.0,170.0,69.0,France,1980,Summer,Grenoble,N/A
"Caitlin A. ""Kitty"" Carruthers (-Conrad)",F,22.0,251,44.0,United States,1984,Winter,83.0,?
Mihay Claudiu Covaliu,Colombia,30.0,181.0,73.0,Romania,2008,Symmer,Mexico City,China
Masaru Inada,M,23.0,174.0,82.0,Japan,2002,Winter,Munich,?
Hanna-Maria Seppl,F,200,174.0,-6145296,Finland,2000,Summer,Sydneh,
Louis Domenico Giani,M,26.0,170.0,200,United States,1514076,Summer,Roma,""""""
Christooher Charles.Church,M,-9613194,170.0,73.0,United Kingdom,1964,Summer,N/A,Japdn
Stella Ngozi Umeh,F,17.0,1755105,1987723,Canada,211,Summer,unknown,Dlain
Seppo Henrik Rty,M,-45,190.0,105.0,Finland,1996,Summer,Host_City,unknown
Masako Hozumi,June Alexandra Croft,23.0,162.0,510863,Jxoan,2010,Winter,21.0,China
Eoin Collins,null,23.0,193.0,86.0,Lreland,1992,Summer,Mexico,Denmark
Bianca Natasja van der Velden,null,32.0,170.0,56.0,Netherlands,9754150,Summer,N/A,67.0
Ali Ahmed Youssef Zaid,M,20.0,168.0,58.0,Afghanistan,1960,Summer,Roma,Austria
Hannelore Hradez (Huber-),Tokyo,31.0,4554700,69.0,Austria,1972,Summer,?,Mexico
Ivars Brsups,M,21.0,183.0,86.0,Russiab Hederation,1984,Winter,Host_Country,Japan
Xnton Igosevich Shabtyr,?,22.0,183.0,220,Fussian Federatikn,1996,Summer,20.0,N/A
Carl Williams,,27.0,195.0,110.0,Ntd Zeqland,2008,Summer,Bekjing,-85
"Pieter Carel Cornelis ""Piet"" van der Touw",unknown,-51,267,80.0,Netherlagds,1960,Wummer,Grenoble,Mexico
Hugo Walser,N/A,24.0,185.0,67.0,Liechtenstein,1964,Suomer,unknown,NULL
Adriau Krainer,"""""",3312197,186.0,245,Austria,2014,Winter,,Russian Federation
Anne Kathryn Schleper,N/A,24.0,178.0,77.0,United States,2014,Winter,?,NULL
Juan Daniel Pirn,NULL,18.0,183.0,76.0,Argentina,243,Summer,Roma,Canada
Dieter Fromm,M,-4493289,178.0,65.0,Germany,-8036829,Summer,Lillehammer,
Marcia Arriaga Larrinua,Canada,16.0,168.0,58.0,Mexico,1972,Summtr,Torino,unknown
Mirela Ana Paca,23.0,17.0,155.8404605,0,Romania,1992,Summer,-7822215,Beijing
Arja Leena Kantola (-Klemz),N/A,18.0,167.0,54.0,Finland,1968,Winter,Summer,""""""
Petra Priemer (-Brinkmann),Summer,-5846565,175.0,68.0,Germany,1976,Summer,Torino,67.0
Caterina Chiara Bosetti,F,18.0,179.0,865499,Italy,2012,Summer,Lltdon,Spain
Motoharu Hirano,M,44.0,-4560231,88.0,Japan,1984,Summer,Nagano,unknown
Derek Owen Froude,182.0,25.0,182.0,64.0,New Zealand,1984,Summer,Raimo Olavi Summanen,Brazil
Valentyna Hryhorivna Myshak (-Voloshchuk),F,22.0,182.0,-9636595,Russian Federation,1964,Summer,N/A,""""""
Magda Genuin,unknown,22.0,7562455,5710127,Italy,2002,Ajgter,Sapporo,Ugkred Stacef
Michael Neumayer,M,31.0,180.0,60.0,Germani,2010,Winter,"""""",NULL
Florent Caelen,NULL,27.0,175.0,54.0,Belgium,2016,Summer,25.0,N/A
Jaume Fort Mauri,M,29.0,182.0,83.0,Spain,1996,Sukmer,London,
Ibrwhim El-Bakh,2006,31.0,172.0,-75,"Egypt, Arab Rep.",1992,Summer,Argentina,""""""
Jean-Frdric Chapuis,2002,24.0,172.0,83.0,France,2014,Winter,Richi,
Mrta Egervry,F,25.0,163.0,66.0,Huggary,1968,Summer,NULL,unknown
JohnCheruiyot Korir,167.0,22.0,172.0,57.0,Kenya,2004,Summec,Athina,unknown
Olga Alekseyevna Zaytseva (-Augustin),F,23.0,168.0,66.0,"Rnssian,Fedcrztion",2002,Winter,Summer,United ftates
Johanna Annikki Ikonen,F,29.0,165.0,63.0,Finland,274,Winter,Munich,80.0
Oara-Lpgz de Eggilaz Zuhitia,Azerbaijan,32.0,262,56.0,Spain,2016,Sumker,N/A,Summer
"Wilhelmina Catharina Maria Martina ""Wilma"" van Gool-van den Berg",F,21.0,165.0,59.0,Netherlands,1968,Summer,Mexico City,?
Tan Anqi,F,23.0,175.0,3258357,China,2010,Winter,Vancouver,
"Michevl.""Mnke"" Barry",19.0,22.0,165.0,2807477,Canada,1976,Summer,Athina,lvaro Burrell Busto
Marcelina Ireny Kiala,?,32.0,178.0,70.0,Angola,-5,Summer,,unknown
Hana Majaj,unknown,3767141,3925586,52.0,Jordan,2000,Sujmer,N/A,
Paula Ioan,2012,17.0,162.0,55.0,Romznix,1972,Summer,Innsbruck,unknown
"Sfepheu J. ""Steve"" Plulteg",M,23.0,190.0,8232857,United Kingdom,1984,Summer,Torino,
Rose Hart,F,22.0,170.0,61.0,Ghana,1964,Sukmer,Lake Placid,Japcn
Kim Seong-Mun,M,2822852,2506901,279,"Korea, Rep.",1984,Summer,Munich,169.3950893
Eva Kristina Wikstrm (-Biedron),"""""",24.0,162.0,4817634,Sweden,-75,Summer,Grenoble,Greece
Ptur Gumundsson,M,30.0,193.0,-7,Iceland,1992,Summer,Barcelona,M
Vreni Inbnit,F,-9614525,168.0,57.0,Switzerland,1968,Winter,NULL,Feance
