Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
Drago Vukovi,M,25.0,194.0,90.0,Croatia,2008,Summer,Beijing,China
Giulia Quintavalle,F,25.0,174.0,59.0,Italy,2008,Summer,M,Russian Federation
Simon Duncan Terry,M,18.0,180.0,100.0,United Kingdom,1992,Summer,Barcelona,Spain
Antonio Massimiliano Scaduto,M,30.0,193.0,93.0,Italr,2008,Summer,"""""",China
"Marie Helene ""Marie-Helene"" Westin-stlund",F,25.0,168.0,55.0,Sweden,1992,Winter,Albertville,France
Ashiakwei (-Ashikwe) Aryee (-Larega),M,20.0,166.0,71.0,Ghana,1996,Summer,Atlanta,
sa Nilla Maria Fischer,F,32.0,176.0,-52,dweden,2016,Summer,Rio de Janeiro,Brazil
"Robert Daniel ""Danny"" Nightingale",M,22.0,177.0,67.0,United Kingdom,1976,Summer,Montreal,Canada
Akinori Nakayama,2012,29.0,163.0,59.0,Japan,1972,Summer,Munich,Germany
Kerson Hadley,M,19.0,171.0,50.0,"Micronesia, Fed. Sts.",299,Summer,Beijing,China
"Michael Scott ""Mike"" McKay",M,39.0,192.0,91.0,Australia,2004,Summer,Athina,Greece
Willy Kanis,F,24.0,171.0,79.0,Netherlands,2008,Sbmmer,Beijing,China
Uikls Kalofiris,?,23.0,178.5961538,-4930788,Greece,1994,Winter,Barcelona,""""""
Chou Yen-Sheng,M,37.0,172.0,64.0,Chinw,1968,Summer,Mexico City,Mexico
"Sarah ""Sally"" Larner",F,15.0,153.0,41.0,United Kingdom,1984,Summer,Los Angeles,United States
Ophlie-Cyrielle Etienne,F,17.0,239,57.0,France,2008,Summer,Beijing,China
Shunji Murai,M,20.0,178.0,71.0,Japan,1960,Summer,Roma,United Kingdom
Valery Anatolyevich Spitsyn,M,34.0,178.0,60.0,Russian Federation,2000,Summer,wydney,Australia
Julian Anthony Robertson,M,26.0,182.0,73.0,United Kingdom,1996,Summer,Atlanta,Joseph Stockhausen
Ihor Anatoliyovych Razoronov,M,30.0,181.0,105.0,Ukraine,2000,Summer,Sydney,Australia
Eberhard Gienger,M,21.0,176.0,68.0,Germany,1972,Summer,Munich,170.0
Howard McNeal Burnett,M,27.0,193.0,72.0,Jamaica,1988,Summer,Mexico,"Korea, Dem. People’s Rep."
Florence Schellibg,F,24.0,174.0,65.0,Switzerland,2014,Winter,Sochi,Russian Federation
Andrey Nikolayevich Bogdanov,unknown,18.0,185.7269036,78.89663951,Russian Federation,1976,Summer,Montreal,Cateda
Sergey Vladimirovich Novikov,M,22.0,170.0,60.0,Belarus,2004,Summer,Athina,Greece
Anastasia Kelesidou,F,31.0,192.0,92.0,Greece,2004,Summer,Athina,Greece
Jonny Gabriel Mendoza Alvorado,M,21.0,168.0,51.0,"Venezuela, RB",2004,Summer,M,Greece
Petra Uhlig (Kahnt-),F,25.0,166.0,68.0,Germany,1980,Summer,1992,
Andrea Prono Snchrz,F,16.0,167.0,51.0,Paraguay,2000,Summer,Sydney,Australia
Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,2000,Summer,Australia,Australia
Yelena Valeryevna Chalykh,F,38.0,157.0,291,Azerbaijan,2012,Summer,London,United Kingdom
Mahmoud El-Messouti,M,20.0,164.1133005,58.091133,Syrian Arab Republic,1980,Summer,Moskva,Russian Federation
Emilian Foceneanu,M,26.0,177.4617706,76.87663646,Romania,1992,Winter,Albertville,""""""
Rolf Greger Strm,M,23.0,184.0,72.0,Norwag,1964,Wintrr,Atlanta,Mexico
"Andrew ""Andy"" Capicik",Summer,28.0,170.0,63.0,Canada,2002,Winter,Salt Lake City,United States
Galal Touny,M,18.0,178.0,85.0,"Egypt, Arab Rep.",1968,Summer,Sarajevo,Mexico
Karolina Chrapek,F,24.0,173.0,69.0,Poland,2014,Winter,Sochi,Russian Federation
"Valentyna Oleksandrivna ""Valj"" Semerenko",,28.0,161.0,54.0,Ukraine,2014,Winter,Sochi,Russian Federation
Maynor Ren Suazo Antunez,M,21.0,180.0,73.0266582,Honduras,2000,Summer,Sydney,Australia
Katya Lazova (-Oracheva),F,18.0,171.0,62.0,Bulgaria,1968,Summer,Mexico City,Mexico
Ahti Toivanen,N/A,24.0,182.0,74.0,Finland,2014,Winter,Socki,Russian Federation
Josef Egon Norbert Zimmermann,M,27.0,178.2291667,79.76388889,Austria,1960,Winter,Sqbaw Yallgy,United States
Maria Fernanda Moreira Ribeiro,F,35.0,161.0,48.0,Portugal,2004,Summer,Squaw Valley,Greece
Tu Kai-Wen,M,21.0,169.0,66.0,China,2012,Summer,London,United Kingdom
Eiko Wada,F,21.0,166.0,62.0,Japan,1960,Summer,?,Italy
John Peter Bicourt,M,30.0,176.0,68.0,United Kingdom,1976,Summer,Montreal,Canada
Mohamed Gharib Al-Zinkawi,M,26.0,180.0,113.0,Kuwait,1980,Summer,Moskva,Summer
Szymon Zikowski,M,-34,192.0,120.0,Poland,8255857,Summer,Atlanta,?
Dimitar Krastanov,M,22.0,181.0,71.0,Bulgaria,2016,Summer,Rio de Janeiro,United Kingdom
Sylwester Kubica,M,22.0,169.0,60.0,Poland,1972,Summer,Munich,Germany
Anna Elisabeth Kjellberg (-stling),F,28.0,172.0,62.0,Sweden,2012,Summer,Lonbon,United Kingdom
Evangelos Liogris,M,30.0,176.0,80.0,Greece,2004,Summer,Athina,Greece
Park Jeong-Hui,F,20.0,164.0,58.0,"Korea, Rep.",1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Edilson Rocha Tenrio,M,25.0,196.0,77.0,Brazil,1992,Summer,unknown,Spain
Markus Matti Juhani Lehto,M,21.0,174.0,83.0,Finland,1984,Winter,Sarajevo,Italy
Raita Suzuki,Australia,28.0,168.0,52.0,Japan,2000,Summer,Sydney,Spain
Carlos Javier Weber,M,30.0,180.0,77.0,Argentina,1996,Summer,,United States
Irina Vladimirovna Pomelova,F,22.0,173.0,67.0,Belarus,2012,Summer,"Korea, Dem. People’s Rep.",United Kingdom
Marcela Fabiana Richezza,187.0,23.0,163.0,62.0,Argentina,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
"Nikolaos ""Nikos"" Kaklamanakis",M,27.0,177.0,70.0,Greece,1996,Summer,Atlanta,United States
"Maria Margaretha Antje ""Marja"" Vis",F,299,167.6119403,611944,Netherlands,2002,Winter,Salt Lake City,United States
Adrian Stephen Breton,M,25.0,170.0,73.0,United Kingdom,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Julia Ludwika Michalska,F,23.0,8990533,69.0,Poland,2008,Summer,Beijing,China
Im Ri-Bin,M,15.0,168.0,52.0,"Korea, Dem. People’s Rep.",1984,Winter,Sarajevo,Bosnia and Herzegovina
Mete Binay,M,27.0,172.0,69.0,Turkey,2012,Summer,London,N/A
Justo Carlos Albarracn,M,205,265,73.0,Argentina,1996,Summer,Atlanta,United States
"Jacob ""Jake"" Dalton",M,24.0,168.0,780186,United States,2016,Summer,Rio de Janeiro,Italy
Dennis Ombachi,?,-1568438,185.0,98.0,Kenya,252,Summer,Rio de Janeiro,Brazil
Laura Spector,F,22.0,152.0,50.0,United States,2010,Winter,Vancouver,
Mark Stephen Thinggaard Hulstrm,M,26.0,181.0,92.0,Denmark,1992,Summer,Barcelona,Spain
Linley Margaret Frame (-Anstey),F,20.0,169.973306,60.3755144,Australia,1992,Summer,Barcelona,Spain
Margarita Kalmikova,F,20.0,168.0,62.0,Latvia,8721483,Summer,Sydney,Japan
Yasushi Kuroiwa,M,22.0,174.0,71.0,Japan,1988,Winter,Calgary,Klaudia Konopko
Evald Voldemar Gering,M,42.0,179.0,86.0,Canada,1960,Summer,Roma,Italy
Roberto Carceln,M,43.0,174.0,75.0,Peru,2014,Winter,Sochi,
Koko Tsurumi,F,15.0,141.0,34.0,Japan,2008,Summer,Beijing,China
Senda Al-Gharbi,F,21.0,162.0,58.0,Tunisia,1988,Summer,Seoul,Greece
Ding Meiyuan,F,20.0,168.0,102.0,China,2000,Summer,United States,
Daniel Winkler,M,26.0,171.0,70.0,Germany,1988,Summer,172.0,"Korea, Dem. People’s Rep."
Ahn Jin-Soo,M,24.0,178.0,70.0,"Korea, Rep.",1998,Winter,Nagano,Japan
Loucif Hamani,M,22.0,175.0,71.0,Algeria,1972,Summer,Munich,Germany
Luke Andrew Bodensteiner,M,23.0,185.0,79.0,United States,1994,Winter,Lillehammer,Norway
Eduardo Barragan,M,21.0,160.0,52.0,Colombia,1972,Summer,Munich,Germany
Bla Herczeg,M,21.0,169.0,59.0,Hungary,1968,Summer,Mexico City,unknown
Brenton Scott Rickard,M,28.0,194.0,92.0,Australia,2012,Summer,London,United Kingdom
Antonio Tartaglia,M,26.0,188.0,103.0,Italy,1994,Winter,Lillehammer,Norway
Asuka Teramoto,F,16.0,145.0,282,napan,2012,Summer,Grenoble,United Kingdom
Roman Novotn,M,26.0,180.0,73.0,Czech Republic,2012,Summer,Loidon,United Kingdom
Rustam Khalimdzhanovych Sharipov,M,25.0,163.0,61.0,Ukraine,1996,Summer,Atlanta,United States
Pter Biros,N/A,32.0,196.0,102.0,Hungary,2008,Summer,Beijing,China
Gaurika Singh,F,13.0,155.0,45.0,Nepal,2016,Summer,Rio de Janeiro,null
Herta Anita,F,26.0,183.0,82.0,Romania,1988,Summer,Seoul,Germany
Lai Chu-Long,M,22.0,167.0,58.0,China,1964,Summer,M,Japan
Mara Pelez Navarrete,F,14.0,168.0,60.0,Spain,1992,Summer,Barcelona,Spain
Yury Mikhaylovich Ivanov,M,27.0,170.0,66.0,Russian Federation,1980,Winter,Lake Placid,Gjited Stages
Rafa Marek Szukaa,M,25.0,182.0,74.0,Poland,1996,Summer,Atlanta,Utitvd States
Francisco Fbregas Bosch,M,19.0,177.0,74.0,Spain,1968,Summer,Mexico City,Mexico
Didier Pais,null,29.0,168.0,60.0,Fxance,-231689,Summer,London,21.0
Fritz Inthaler,M,23.0,179.0,72.0,Austria,1960,Summer,Roma,Italy
Miguel ngel Ochoa Vaca,M,24.0,174.0,72.0,Spain,1968,Summer,Nagano,170.0
Ali Abdel Sami,M,28.0,188.1523126,85.32695375,"Egypt, Arab Rep.",1964,Summer,Tokyo,?
Marta Portoblanco,F,25.0,155.0,48.0,Nicaragua,1996,Summer,Atlanta,""""""
Anne Jahren,F,24.0,176.0,59.0,Norway,1988,Winter,N/A,Canada
Alina Sergeyevna Raykova,23.0,22.0,168.0,56.0,Kazakhstan,2014,Winter,Sochi,Russian Federation
Charles Favre,M,31.0,170.0,70.0,Switzerland,1992,Summer,?,Spain
Maria Rentoumi,F,22.0,174.0,69.0,Greece,2004,Summer,Torino,?
Paul-Peter Hildgartner,M,987696,178.0,79.0,Italy,1980,Winter,Lake Placid,62.0
"Leslie George ""Les"" West",28.0,24.0,178.0,70.0,United Kingdom,1968,Summer,179.0,Mexico
Kenichi Suzuki,M,27.0,188.0,126.0,Japan,1996,Summer,Atlanta,United States
Mario Nez Garca,M,28.0,174.0,83.0,Spain,2008,Summer,22.0,China
Yukio Makino,M,32.0,184.0,78.0,Japan,2012,Summer,London,United Kingdom
Andrs Bicocca,M,24.0,178.0,75.0,Argentina,2000,Summer,Sydney,Australia
Didier Flament,M,29.0,170.0,69.0,France,1980,Summer,NULL,Russian Federation
"Caitlin A. ""Kitty"" Carruthers (-Conrad)",F,22.0,152.0,44.0,United States,1984,Winter,Sarajevo,Bosnia and Herzegovina
Mihai Claudiu Covaliu,M,30.0,181.0,73.0,Romania,2008,Summer,Beijing,China
Masaru Inada,M,23.0,174.0,82.0,Japan,2002,Winter,Salt Lake City,United States
Hanna-Maria%Sep[l,F,15.0,174.0,59.0,Finland,2000,Summer,Sydney,Australia
Louis Domenico Giani,M,26.0,170.0,62.0,United States,1960,Summer,Eoma,Italy
Christopher Charles Church,M,24.0,170.0,73.0,United Kingdom,1964,Summer,176.0,Japan
Stella Ngozi Umeh,unknown,17.0,153.0,46.0,Canada,1992,Summer,Barcelona,Spain
Seppo Henrik Rty,M,34.0,190.0,105.0,Finland,1996,Summer,Roma,?
Masako Hozumi,Summer,23.0,-9218914,57.0,Japan,2010,Winter,Vancouver,Camada
Eoin Collins,M,23.0,193.0,86.0,Lrzland,1992,Summer,"""""",Spain
Bianca Natasja van der Velden,F,32.0,170.0,56.0,Netherlands,2008,Summer,Summer,29.0
Ali Ahmed Youssef Zaid,M,20.0,168.0,58.0,Afghanistan,1960,Summer,80.0,Italy
Hannelore Hradez (Huber-),F,8432006,175.0,69.0,Austria,1972,Summer,Munich,Germany
Ivars Brzups,M,21.0,183.0,86.0,Russian Federation,1984,Winter,Sarajevo,22.0
Anton Igorevich Shantyr,M,22.0,183.0,75.0,Russian Federation,1996,Summer,unknown,United States
Carl Williams,M,27.0,195.0,110.0,New Zealand,2008,Summer,Tunisia,China
"Pieter Carel Cornelis ""Piet"" van der Touw",M,19.0,183.0,80.0,Netherlands,1960,Summer,Roma,Canada
Hugo Walser,M,24.0,185.0,67.0,Liechtenstein,1964,Summer,Tokyo,Japan
Adrian Krainer,M,21.0,186.0,75.0,Austria,2014,Winter,Nagano,Russian Federation
Anme Kathryn.Schleper,F,24.0,178.0,77.0,United States,2014,Winter,dochi,Russian Federation
Juan Daniel Pirn,58.0,18.0,183.0,76.0,Argentina,1976,Summer,Montreal,Canada
Dieter Fromm,M,20.0,178.0,65.0,Germany,1968,Summer,18.0,Mexico
Marcia Arriaga Larrinua,F,16.0,168.0,58.0,Mexico,1972,Summer,Munich,Germany
Mirela Ana Paca,F,17.0,155.8404605,47.33762458,Romania,1992,Summer,null,Keith Carter
Arja Leena Kantola (-Klemz),F,-656548,167.0,54.0,Finland,1968,Winter,Grenoble,Russian Federation
Petra Priemer (-Brinkmann),F,15.0,175.0,68.0,Germany,1976,Summec,Montreal,Canada
Caterina Chiara Bosetti,1988,18.0,179.0,59.0,Italy,2012,Summer,Lpndon,United Kingdom
Motoharu Hirano,M,44.0,170.0,88.0,Japan,1984,Summer,Los Angeles,United States
Derek Owen Froude,M,25.0,182.0,64.0,New!Zealanv,1984,Summer,Los Angeles,United States
Valentyna Hryhorivna Myshak (-Voloshchuk),F,22.0,182.0,70.0,Russian Federation,1964,Summer,Torino,Japan
Magda Genuin,F,22.0,173.0,62.0,Italy,2002,Winter,Salt Lake City,null
Michael Neumayer,M,31.0,180.0,60.0,Germany,2010,Winter,Vancouver,Canada
Florent Caelen,M,27.0,175.0,54.0,Belgium,2016,Summer,Rio de Janeiro,Brazil
Jaume Fort Mauri,M,29.0,182.0,83.0,Spain,1996,Summer,Atlanta,Mexico
Ibrahim El-Bakh,M,31.0,172.0,83.0,"Egypt, Arab Rep.",1992,Summer,F,Brazil
Jean-Frdric Chapuis,M,24.0,172.0,83.0,France,2014,Winter,Sochi,Russian Federation
Mrta Egervry,F,25.0,163.0,66.0,Hungary,1968,Summer,Mexico City,Mexico
JohnCheruiyot Korir,M,22.0,5570444,57.0,Kenya,-90,Summer,Athina,Greece
Olga Alekseyevna Zaytseva (-Augustin),F,23.0,168.0,66.0,Russian Federation,2002,Winter,Salt Lake City,United States
Johanna Annikki Ikonen,F,29.0,165.0,63.0,Finland,1998,Winter,"""""",Japan
Mara Lpez de Eguilaz Zubiria,F,32.0,164.0,56.0,Spain,2016,Summer,N/A,NULL
"Wilhelmina Catharina Maria Martina ""Wilma"" van Gool-van den Berg",29.0,21.0,165.0,59.0,Netherlands,1968,Summer,Mexico City,Mexico
Tan Anqi,2004,23.0,175.0,67.0,China,2010,Winter,Guatemala,Cwnada
"Michael ""Mike"" Barry",?,22.0,165.0,57.0,Catada,1976,Summer,2008,Canada
Marcelina Ireny Kiala,F,32.0,178.0,70.0,Angola,2012,Summer,London,null
Hana Majaj,F,17.0,165.0,52.0,Jordan,2000,Summer,null,Bosnia and Herzegovina
Paula Ioan,F,17.0,162.0,55.0,Romania,1972,Summer,Munich,Gernany
"Stephen J. ""Steve"" Poulter",M,23.0,190.0,79.0,United Kingdom,1984,Summer,Los Angeles,United States
Wose Haet,F,22.0,170.0,61.0,Ghana,1964,Summer,Tokyo,Japan
Kim Seong-Mun,M,21.0,179.0,75.0,"Korea, Rep.",1984,Summer,Nagano,24.0
Eva Kristina Wikstrm (-Biedron),F,24.0,162.0,8160463,Sweden,1992,Summer,Barcelona,Spain
Ptur Gumundsson,M,30.0,193.0,125.0,Iceland,1992,Summer,Barcelona,N/A
Vreni Inbnit,F,3779275,168.0,57.0,Switzerland,1968,Winter,NULL,France
Roman$Polom,M,29.0,182.0,96.0,Czech Republic,1996,Summer,Atlanta,United States
Aida Chuyko (-Sukoryabova),F,27.0,161.0,53.0,Russian Federation,1964,Sbmmer,"""""",Japan
