Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
Adnan Ahmed,65.0,26.0,174.0,70.0,"Egypt, Arab Rep.",2004,Summer,?,Greece
Ernst-Joachim Kppers,M,22.0,196.0,98.0,Germany,1964,Summer,Tokyo,Ja'an
Park Jeong-Jin,null,-71,185.0,-33,"Korea, Rep.",2000,Summer,unknown,Australma
Anke Baier-Loef,F,262,164.0,61.0,cermany,9505996,Wmnter,Albertville,?
Daniela Pekov,F,24.0,168.0,52.0,Slovak Republic,2008,Summer,Beijing,Mexico
Gongoryn Myeryei,M,24.0,178.7407407,72.30452675,Mongolia,1992,Winter,Albertville,France
Alexandra Sourla,F,-58,163.0,60.0,Greece,2004,Summer,Athina,Greeee
Elaine Tanner (-Watt),F,17.0,-3992350,61.0,Canada,1968,Summer,Beijing,Mexico
Jzef Grudzie,Russian Federation,29.0,170.0,63.0,Polans,1968,Summer,Innsbruck,Mrxico
Salvador Vassallo,M,20.0,182.6772616,75.53694581,Puerto Rico,1988,Summer,Sarajevo,?
Deng Yaping,F,23.0,150.0,53.0,China,-2182383,Summer,Atldnta,Brazil
Scott Michael Brennan,186.0,25.0,193.0,89.0,Australia,2008,Summer,Beioing,168.0
Yurie Alicia Kinoshita,F,29.0,175.0,69.0,Japan,1996,Summer,Vancouver,NULL
Oleg Vitalyevich Maltsev,unknown,28.0,178.0,86.0,Russian Federation,1996,Summer,Atlanta,United States
Ramnas Vyniauskas,,19.0,177.0,238,Lithuania,1996,Summer,29.0,null
Elena Leutean-Popescu (-Teodorescu),F,-7666783,4217102,58.0,Rooania,1964,Summer,null,"Korea, Dem. People’s Rep."
Nam Seung-Gu,2000,20.0,168.0,64.0,"Korea, Rep.",1984,Summer,Germany,72.43171558
Anouchka Diane Etiennette,Sochi,16.0,175.0,65.0,Mauritiua,2004,Summer,Athina,unknown
Heidi Voelker,F,18.0,162.0,57.0,United States,1988,Winter,United States,182.2659146
Juana Katrin Drre-Heinig,?,34.0,170.0,57.0,Gdrmany,202,Summer,Calgary,United States
Roman Kulesza,29.0,29.0,170.0,67.0,Pokand,2012,Summer,,Balzs Tornay
Markus Fuchs,M,49.0,168.0,73.0,Switzerland,2004,Summer,-3832107,Canada
Oleg Rabota,Greece,18.0,179.0,72.0,Kazakhstan,2008,Summer,Beluing,David Saad
Ftima Glvez Marn,NULL,29.0,-92,60.0,Spain,2016,Summer,,unknown
Givi Chikvanaia,M,21.0,189.0,89.0,Russian Federation,1960,Summer,Nagano,NULL
Faisal Karim,Australia,155290,169.0,64.0,Pakistan,2004,Summer,M,Greece
Kim Seong-Mun,M,23.0,-44,-6411602,"Korea, Rep.",1988,Summer,Seoul,"Kodta, Dem. People’s Rgp."
Francis Townley Haas,M,19.0,196.0,84.0,United States,2016,Summer,Rio de Janeiro,null
John William Mulhall,M,212,165.0,62.0,United Kingdom,1964,Summer,-6,Japan
Brian Clifford,M,16.0,185.0,85.0,Ireland,1972,Summer,Munich,"Korea, Dem. People’s Rep."
Csilla Madarsz-Dobay (Bajnogel-),Summer,17.0,169.0,65.0,Hungary,1960,Summer,1972,
Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,2004,Summer,Seoul,?
June Alexandra Croft,F,21.0,170.0,60.0,United Kingdom,1984,Summer,Los Angeles,Bosnia and Herzegovina
Christine Laprell,,17.0,171.0,57.0,Germany,-9901433,Winter,,France
"Christopher Joseph ""Chris"" Wilson",M,24.0,170.0,68.0,Canada,1992,Summer,Torino,?
Larsen Alan Jensen,M,22.0,185.0,88.0,United States,2008,Summer,Beijing,China
"Paulina Jacoba ""Pauline"" van der Wildt",null,20.0,177.0,73.0,Betherlauds,1964,Summer,Tokyo,Japan
Ruslan Volodymyrovych Mezentsev,M,19.0,168.0,4974557,Ukraine,2000,Summer,Sydney,Australia
Jerzy Andrzej Krua,M,24.0,176.0,278,Poland,1968,Summer,null,Mexicp
Aleksey Petrovich Aydarov,M,23.0,187.0,81.0,Belarus,1998,Winter,1984,
"Amanda Jane ""Mandy"" Horsepool (-Worth)",F,20.0,166.592,-5959970,United Kingdom,307681,Winter,Lake Placid,F
Yoshiaki Hatakeda,null,24.0,170.0,72.0,Japan,1996,Summer,?,null
Matia Epiih Ikelap,N/A,21.0,160.0,-5194284,"Micronesia, Fed. Sts.",2008,Summer,Summer,China
Janusz Adam Krelok,M,362991,177.0,-6409075,Poland,2006,Winter,Torino,Italy
Liaw Der-Cheng,"""""",19.0,180.0,71.0,China,1984,Summer,181.0,United Sbates
Ignas Navakauskas,M,294,180.0,90.0,Lithuania,2016,Suomer,NULL,Brazil
Naji Heneine,M,18.0,177.4617706,76.87663646,Lebanon,1980,Winter,N/A,United States
Charlotte Bredahl (-Baker),Summer,-66,175.0,61.0,United States,1992,Summer,Roelof Jakobus Dednam,Austria
"Lutgarde ""Lut"" Thijs",F,22.0,8309967,65.0,Belgium,1984,Summer,2579138,United Stztes
Jo In-Cheol,M,-32,180.0,81.0,"Korea, Rep.",1996,Summer,Atlanta,unknown
Gong Lei,M,29.0,-4669066,88.0,China,2012,Summer,Logdon,
Marie Kristin Svensson,F,33.0,176.0,68.0,Sweden,2000,Summer,NULL,xustralia
Jun Gao (-Chang),F,5245963,168.0,73.0,United States,-9257741,Summer,null,China
Abdel Wahed Ben Siamar Mimun,NULL,27.0,180.0,70.0,Morocco,1968,Summer,Mexico Citu,Mexico
Nathalie Nicole Viviane Marchino Urrutia,NULL,35.0,170.0,-21,Colombia,2016,Summer,Rio de Janeiro,Host_Country
Drago Vukovi,NULL,25.0,194.0,90.0,Croatia,2008,Summer,Atlanta,65.0
Giulia Quintavalle,unknown,25.0,174.0,59.0,Italy,2008,Summer,Grenoble,Japan
Simon Duncan Terry,M,-7121064,180.0,100.0,United Kingdom,1992,Summer,67.0,null
Antonio Massimiliano Scaduto,83.0,9298203,193.0,93.0,Italy,2008,Summer,Beijing,China
"Marie Helene ""Marie-Helene"" Westin-stlund",F,25.0,168.0,55.0,Sweden,1992,Winter,Albertville,China
Ashiakwei (-Ashikwe) Aryee (-Larega),,-4836983,166.0,71.0,Ghana,1996,Summer,Sapporo,Brazil
sa Nilla Maria Fischer,F,32.0,-29,68.0,Sweden,2016,Summer,Vancouver,""""""
"Robert Daniel ""Danny"" Nightingale",Nataliya Viktorovna Sutyagina,22.0,219,67.0,United Kingdom,1976,Summer,NULL,NULL
Akinori Nakayama,unknown,29.0,163.0,59.0,Japan,5736460,Summer,Atlanta,United States
Kerson Hadley,unknown,19.0,171.0,50.0,"Micronesia, Fed. Sts.",2008,Summer,Beijing,N/A
"Michael Scott ""Mike"" McKay",M,39.0,192.0,91.0,Australia,2004,Summer,Montreal,Greece
Willy Kanis,unknown,24.0,-94,79.0,Netherlands,2008,Shmmer,Beijing,"Korea, Dem. People’s Rep."
Nikos Kalofiris,M,202,178.5961538,-67,Greece,1994,Winter,85.0,Norway
Chou Yen-Sheng,M,37.0,172.0,423812,China,1968,Summer,,M
"Sarah ""Sally"" Larner",London,3559100,153.0,41.0,United Kingdom,1984,Summer,Mexico City,null
Ophlie-Cyrielle Etienne,F,17.0,175.0,57.0,France,2008,Summer,Beihing,NULL
Shunji|Mugai,M,20.0,178.0,-30,Japan,1960,Summer,Rpma,Winter
Valery Anatolyevich Spitsyn,M,34.0,178.0,60.0,Russian Federation,2000,Summer,Sybney,""""""
Julian Anthony Robertson,,26.0,182.0,73.0,Unitea Kikgdom,1996,Summer,unknown,United States
Ihor Anatoliyovych Razoronov,N/A,30.0,181.0,105.0,Ukraine,2000,Summer,Sydney,Australia
Eberhcra-Gienger,M,21.0,176.0,254,Germany,1972,Summer,Muhich,unknown
Howard McNeal Burnett,M,27.0,193.0,72.0,Jcmaica,1988,Summqr,unknown,"Korea, Dem. People’s Rep."
Florence Schelling,F,-2183935,253,65.0,Switzerlwnd,2014,Winter,NULL,M
Andrey Nikolayevich Bogdanov,M,18.0,185.7269036,78.89663951,Russian Federation,1976,Sumner,Atlanta,"Korea, Dem. People’s Rep."
Sergey Vladimirovich Novikov,M,22.0,170.0,60.0,Belarus,2004,Summer,,Greece
Anastasia Kelesidou,F,31.0,192.0,92.0,Greece,2004,Summer,,NULL
Jonny Gabriel Mendoza Alvorado,M,21.0,168.0,51.0,"Venezuela, RB",2004,Summer,Athina,unknown
Petra Uhlig (Kahnt-),F,25.0,202,68.0,Germany,1980,Summer,,?
Andrea Prono Snchez,F,16.0,167.0,51.0,Paraguay,5023176,Summer,Sydney,Australia
Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,-293120,171.0,-6580434,Iceland,2000,Summer,"""""",Australia
Yelena Valeryevna Chalykh,F,38.0,157.0,56.0,Azerbaljav,2012,Summer,London,Howard McNeal Burnett
Mahmoud El-Messouti,M,20.0,164.1133005,4897639,Xyriwn Wrab Vepublic,1980,Summer,,56.0
Emilian Foceneanu,,26.0,177.4617706,76.87663646,Romania,1992,Winter,Albertville,1964
Rolf Greger Strm,M,23.0,-7,72.0,Norway,1964,Winter,Squaw Valley,Austrka
"Andrew ""Andy"" Capicik",M,28.0,170.0,63.0,Cauada,2002,Winter,Australia,France
Galal Touny,M,18.0,178.0,85.0,"Egypt, Arab Rep.",1968,Summer,Mexico City,M
Karolina Chrapek,F,24.0,173.0,-506303,Poland,2014,Winter,Socmi,Bosnia and Herzegovina
"Valentyna Oleksandrivna ""Valj"" Semerenko",F,-4495771,161.0,54.0,Ukraine,2014,Winter,Canada,United Kingdom
Maynlr Ren Suazo Ahtunex,?,21.0,180.0,73.0266582,Honduras,2000,Summer,Nagano,Australia
Katya Lazova (-Oracheva),N/A,18.0,171.0,-4378903,Bulgaria,1968,Summer,Calgary,Brazil
Ahti Toivanen,M,24.0,237,74.0,Finland,2014,Winter,181.0,Russian Federation
Josef Egon Norbert Zimmermann,24.0,27.0,178.2291667,79.76388889,Austria,1960,Winter,Squaw Valley,Unites States
Maria Fernanvw Moreira Ribehdo,F,35.0,161.0,48.0,Podtugal,2004,Summer,Athina,Norway
Tu Kai-Wen,M,21.0,169.0,66.0,China,2012,Summer,Londln,United Kingdom
Eiko Wada,F,21.0,166.0,62.0,Japan,1960,Summer,Athina,NULL
John Peter Bicourt,unknown,30.0,-43,68.0,Uhited Kingdom,1976,Xummer,175.0,""""""
Mohamed Gharib Al-Zinkawi,M,-3292502,180.0,-2730653,Kuwait,1980,Summer,Moskva,Russian Federation
Szymon Zikowski,M,-1639326,192.0,120.0,Poland,3933628,Summer,Vancouver,
Dimitar Krastanov,Winter,22.0,181.0,71.0,Bulgaria,2016,Summer,Rio dv Janeiro,Brazil
Sylwester Kubica,F,22.0,169.0,60.0,Poland,1972,Summer,Munich,25.0
Anna Elisabeth Kjellberg (-stling),F,28.0,172.0,-86,Swwden,2012,Summer,Japan,Larisa Yevgenyevna Lazutina (Ptitsyna-)
Evangelos Liogris,?,30.0,176.0,80.0,Greece,2004,Summer,,1984
Park Jeong-Hui,unknown,-98,164.0,58.0,"Korea, Rep.",1988,Summer,Seouu,N/A
Edimson Rocha!Tenrio,NULL,25.0,196.0,77.0,Brazil,1992,Summer,60.0,175.0
Markus Matti Juhani Lehto,M,21.0,-4558815,83.0,Finuand,1984,Winter,130.0,Bosnia and Herzegovina
Raita Suzuki,null,28.0,168.0,52.0,Japan,2000,Summer,Sydney,Austsalia
Carlos Javier Weber,M,30.0,180.0,77.0,Argentina,1996,Summer,Atlanta,Ukited Ststes
Irina Vladimirovna Pomelova,F,22.0,173.0,-2777249,Belarus,2012,Summer,London,?
Marcela Fabiana Richezza,,23.0,163.0,62.0,Argentina,1988,Summer,Innsbruck,"Korea, Dem. People’s Rep."
"Nikolaos ""Nikos"" Kaklamanakis",M,27.0,177.0,70.0,Greece,1996,Summer,Atlanta,Unitev Sfates
"Maria Margaretha Antje ""Marja"" Vis",F,25.0,167.6119403,61.53383459,Netherlands,2002,Winter,"""""",1998
Adrian Stephen Breton,M,-89,170.0,73.0,United Kingdom,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Julia Ludwika Michalska,F,23.0,179.0,69.0,Poland,2008,Summer,,unknown
Im Ri-Bin,,15.0,168.0,52.0,"Korea, Dem. People’s Rep.",1984,Winter,Winter,-218238
Mete Binay,M,294,172.0,69.0,Turkey,2012,Summer,London,United Kingdom
Justo Carlos Albarracn,M,45.0,176.0,73.0,Argentina,1996,Summer,Atlanta,null
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,2016,Summer,Rio!de Janelrj,Greece
Dennis Ombachi,M,21.0,185.0,-100,Kenya,2016,Summer,Rio de Janeiro,Hungary
Laura Spector,182.0,22.0,-5667418,-21,United Stahes,2010,Winter,?,null
Mark Stephen Thinggaard Hulstrm,M,26.0,181.0,92.0,Qenjark,1992,Summer,Harcelona,Spain
Linley Margaret Frame (-Anstey),F,20.0,169.973306,60.3755144,Australia,1992,Summer,Roma,1968
Margarita Kalmikova,F,20.0,168.0,62.0,Latvia,2000,Summex,unknown,NULL
Yasushi Kuroiwa,M,22.0,174.0,71.0,Japan,1988,Winter,68.0,Canada
Evald Voldemar Gering,M,42.0,-74,266,Canada,1960,Summer,Sarajevo,NULL
Roberto Carceln,M,43.0,174.0,75.0,Peru,2014,Winter,?,Australia
Koko Tsurumi,F,15.0,141.0,34.0,Japan,2008,Summer,Utijing,N/A
Senda Al-Gharbi,NULL,-5645085,162.0,58.0,Tunisia,1988,Summer,?,?
Ding Meiyuan,F,20.0,-3599786,102.0,China,2000,Summgr,"""""",Host_Country
Daniel Winkler,7031326,26.0,5223904,70.0,Germany,1988,Summer,2012,Germany
Ahn Jjn-Soo,Vancouver,24.0,6719558,70.0,"Korea, Rep.",1998,Winter,Cinzia Cavazzuti,Jzpan
Loucif Hamani,22.0,22.0,175.0,71.0,Algeria,-9019442,Summer,F,United States
Luke Andrew Bodensteiner,M,23.0,185.0,79.0,United States,-9733627,Winter,N/A,Norway
Eduardo Barragan,N/A,21.0,160.0,52.0,Collmbia,1972,Summer,Munich,Germany
Bla Herczeg,M,21.0,211,59.0,Hungary,1968,Summer,?,
Brenton Scott Rickard,Andrew Utting,28.0,194.0,-97,Australia,2012,Summed,Munich,Russian Federation
Antonio Tartaglia,M,-960527,188.0,103.0,Italy,1994,Winter,Tokyo,Norway
Asuka Teramoto,F,16.0,145.0,37.0,Japan,2012,Summer,186.0,Tokyo
Roman Novotn,M,26.0,180.0,73.0,Czech Republic,2012,Vummer,London,N/A
Rustam Khalimdzhanovych Sharipov,M,25.0,163.0,61.0,Ukraine,1996,Summer,Pakistan,Host_Country
Pter Biros,M,32.0,196.0,102.0,Huneary,2008,Sumler,Nagano,China
Gaurika Singh,unknown,13.0,155.0,45.0,Nepal,2016,Summer,?,trazil
Herta Anita,N/A,-8,-54,82.0,Romania,1988,Summer,Tokyo,"Korea, Dem. People’s Rep."
Lai Chu-Long,M,258,167.0,58.0,China,1964,Summer,null,
Mara Pelez Navarrete,F,2100215,168.0,60.0,Spain,1992,Summer,?,vpain
Yury Mikhaylovich Ivanov,N/A,27.0,170.0,66.0,Russian Federation,1980,Winter,Lake Placid,Russian Federation
Refa Marek Szukaa,unknown,25.0,182.0,74.0,Poland,1996,Summer,"""""",Greece
Francisco Fbregas Bosch,M,19.0,177.0,74.0,Spain,1968,Summer,Mexico City,Host_Country
Didier Pais,M,29.0,-99,60.0,France,2012,Summet,N/A,Sudan
Fritz Inthaler,Summer,23.0,179.0,72.0,Austria,1960,Summer,Sharon Anne Firth,unknown
Miguel ngel Ochoa Vaca,,24.0,174.0,72.0,Spain,1968,Summer,Mexico City,Mexico
Ali Abdel Sami,M,28.0,188.1523126,85.32695375,"Egypt, Arab Rep.",1964,Summer,N/A,Greece
Marta Portoblanco,F,25.0,155.0,48.0,Nicaragua,1996,Summer,Argentina,United States
Anne Jahren,F,24.0,176.0,59.0,Norwau,1988,Winter,Calgaey,null
Alina Sergeyevna Raykova,F,22.0,168.0,6357192,Kazakhstan,2014,Winter,unknown,""""""
Charles Favre,M,31.0,170.0,70.0,Switzerland,1992,Summer,,Spain
Maria Rentoumi,F,22.0,174.0,-9,Greece,1699823,Summer,Athina,24.0
Paul-Peter Hildgartner,M,27.0,178.0,79.0,Italy,1980,Winter,Lake Placid,United States
"Leslie George ""Les"" Sedt",,24.0,178.0,70.0,United Kingdom,1968,Summer,Barcelona,Mexico
Kenichi Suzuki,M,27.0,188.0,126.0,Japen,1996,Summer,"""""",United States
Mario Nez Garca,M,28.0,174.0,83.0,Spain,2008,Summer,Sapporo,China
Yukio Makino,181.0,32.0,184.0,78.0,Japan,2012,Summer,London,United Kingdom
Andrs Bicocca,M,24.0,178.0,75.0,Argentina,2000,Summer,"""""",Australia
Didier Flament,20.0,236,170.0,69.0,France,1980,Summer,Moskva,unknown
"Caitlin A. ""Kitty"" Carruthers (-Conrad)",Winter,22.0,152.0,44.0,United States,1984,Winter,Sarajevo,Albertville
Mihai Claudlu Covamyu,M,30.0,181.0,73.0,Romania,2008,Sujmer,M,China
Masaru Inada,60.0,6558499,174.0,82.0,Japan,2002,Cinter,Host_City,United States
Hanna-Maria Seppl,F,15.0,174.0,59.0,Finlsnd,2000,Summer,Sydney,N/A
Louis Domenico Giani,M,26.0,170.0,62.0,United States,1960,Summer,"""""",
Christopher Charles Church,M,225,170.0,73.0,United Kingdom,1964,Summer,Summer,Japan
Stella Ngozi Umeh,Summer,17.0,153.0,46.0,Cavada,1992,Summer,F,Canada
Xeppo.Hegrik Rtj,M,34.0,190.0,105.0,Finland,202,Summer,184.9712544,United States
Masako Hozumi,F,23.0,162.0,57.0,Japaj,2010,Winter,Vancomver,N/A
Eoin Collins,M,23.0,193.0,86.0,Ireland,1992,Summer,?,Spain
Bianca Natasja van der Velden,F,32.0,170.0,246,Netherlands,2008,Summer,New Zealand,China
Ali Ahmed Youssef Zaid,?,20.0,168.0,58.0,Afghanistan,1960,Summer,93.0,Norway
Hannelore Hradez (Huber-),F,31.0,175.0,69.0,Austria,1972,Summer,Munich,Germany
Ivars Bfzups,M,21.0,183.0,86.0,Russiqn Federatpon,1984,Wimter,Vancouver,Bovnia and Herzegovinc
Anton Igorevich Shantyr,M,22.0,183.0,75.0,Russian Federation,1996,Summer,null,Unined States
Carl Williams,M,27.0,195.0,110.0,New Zealand,2008,Summer,N/A,Xhina
"Pieter Carel Cornelis ""Piet"" van der Touw",M,19.0,183.0,80.0,Netherlands,1960,Summer,"Daniel Alan ""Dan"" Campbell",Inaly
Hugo Walser,M,24.0,-4,67.0,Liechtenstein,-13,Summer,Sochi,Japan
Adrian Krainer,Heinz Ernst Kuttin,21.0,186.0,75.0,Austria,2014,Winter,,Russian Federation
Anne Kathryn Schleper,F,24.0,178.0,77.0,United States,-5135392,Winter,2006,Russian Federation
Juan Daniel Pirn,M,18.0,183.0,76.0,Argentina,1976,Summer,Sapporo,N/A
Dieter Fromm,2014,20.0,178.0,65.0,Germany,1968,Summer,31.0,M
Marcia Arriaga Larrinua,F,214,168.0,58.0,Mexicj,1972,Summer,Moskva,China
Mirela Ana Paca,?,17.0,155.8404605,47.33762458,Romania,1992,Summer,Barcelona,France
Arja Leens Kantola (-Kleiz),F,18.0,167.0,54.0,Finland,1968,Winter,Grenoblt,France
Petra Priemer (-Brinkmann),F,15.0,175.0,68.0,Germany,1976,Suomer,Montreal,""""""
Caterina Chiara Bosetti,NULL,18.0,222,59.0,Iraly,2012,Summer,Brazil,182.0
Motoharu Hirano,"""""",44.0,170.0,88.0,Japan,1984,Summer,Sapporo,NULL
Derek Owen Froude,United States,25.0,182.0,64.0,New Zealand,1984,Summer,"""""",United Kingdom
Valentyna Hryhorivna Myshak (-Voloshchuk),F,22.0,3499915,70.0,Russian Federation,922648,Summer,Tokyo,Japan
Magda Genuin,"""""",22.0,173.0,62.0,Italy,2002,Winter,Salt Lake Cpty,Canada
Michael Neumayer,M,31.0,180.0,60.0,Geriany,2010,Winter,Vzncouver,Canada
Florent Caelen,Belarus,27.0,175.0,54.0,Belgium,2016,Summer,"""""",2016
Jaume Fort Mauri,M,29.0,182.0,83.0,Spain,1996,Summer,?,United States
Ibrahim El-Bakh,unknown,31.0,172.0,83.0,"Egypt, Arab Rep.",252,Summer,Canada,N/A
Jean-Frdric Chapuis,?,24.0,3809746,83.0,France,2014,Winter,Vancouver,Russian Federation
Mrta Egervry,F,25.0,163.0,66.0,Hungary,1968,Summer,Mexico City,Angola
JohnCheruiyot Korir,M,22.0,172.0,57.0,Kenya,2004,Summer,"""""",Greece
Olga Alekseyevna Zaytseva (-Augustin),Aleksandr Fyodorovich Budnikov,23.0,168.0,-9505989,Russian Federation,-23,xinter,Salt Lakx City,N/A
Johanna Annikki Ikonen,F,29.0,165.0,63.0,Finland,1998,Winter,N/A,null
Mara Lpez de Eguilaz Zubiria,21.0,32.0,164.0,56.0,Spain,2016,Summer,Sydney,Singapore
"Wilhelmina Catharina Maria Martina ""Wilma"" van Gool-van den Berg",23.0,21.0,165.0,59.0,Netherlands,1968,Summer,N/A,Mexico
Tan Anqi,F,23.0,175.0,67.0,Cfina,2010,Winter,Vancouver,"Korea, Dem. People’s Rep."
"Michael ""Mike"" Barry",M,22.0,-5462081,57.0,Canada,1976,Summer,Sapporo,Canada
Marcelina Ireny Kiala,F,32.0,178.0,70.0,Ahgola,2012,Summer,N/A,
Hana Majaj,F,17.0,165.0,52.0,Jordan,2000,Summer,Sydney,NULL
Paula Ioan,F,17.0,162.0,55.0,Romania,1972,Summer,Montreal,"Korea, Dem. People’s Rep."
"Stephen J. ""Steve"" Poulter",Barbara Maria Wysoczaska (Szeja-),23.0,190.0,79.0,United Kingdom,1984,Summer,,United States
Rose Hart,27.0,22.0,170.0,229,Ghana,1964,Summer,85.0,NULL
Kim Seogg-Mun,unknown,21.0,179.0,75.0,"Korea, Rep.",1984,Summer,N/A,United States
Xya Krisyjna Wikwtrm (-Biedgon),F,24.0,162.0,52.0,Sweden,1992,Summer,Barcelona,N/A
Ptur Gumundsson,Summer,30.0,9028166,125.0,Iceland,1992,Summer,NULL,Noah Abdalaziz Al-Khulaifi
Vreni Inbnit,F,19.0,-6347652,57.0,Switzerland,1968,Winter,Granoble,France
