Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
Deividas Margeviius,M,21.0,187.0,80.0,Lithuania,2016,Summer,Rio de Janeiro,Brazil
William Neal Booth,M,20.0,180.0,75.0,Australia,1964,Summer,Tokyo,Japan
Zhang Jingjin,M,18.0,165.0,53.0,China,1996,Summer,Atlanta,United States
Andrs Sallay,M,26.0,188.0,75.0,Hungary,1980,Winter,Lake Placid,United States
"Alexander Timothy ""Tim"" McKee",M,23.0,173.0,70.0,United States,1976,Summer,Montreal,Canada
Mikko Lasse Juhani Mattila,M,31.0,175.0,67.0,Finland,1984,Summer,Los Angeles,United States
Aleksandr Anatolyevich Romankov,M,34.0,178.0,72.0,Russian Federation,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Panagiotis Nikolaou,M,29.0,180.0,90.0,Cyprus,1980,Summer,Moskva,Russian Federation
Lyudmila Vladimirovna Dmitriyeva,F,27.0,180.0,70.0,Russian Federation,2016,Summer,Rio de Janeiro,Brazil
Walter Kusch,M,18.0,182.0,70.0,Germany,1972,Summer,Munich,Germany
Viktors Ignatjevs,M,31.0,190.0,92.0,Latvia,2002,Winter,Salt Lake City,United States
Khaled Murad Ghaloum,M,22.0,185.0,115.0,Kuwait,1980,Summer,Moskva,Russian Federation
Zoltn Bres,M,24.0,185.0,83.0,Hungary,1992,Summer,Barcelona,Spain
"John ""Johnno"" Cotterill",M,24.0,193.0,88.0,Australia,2012,Summer,London,United Kingdom
Andriy Oleksandrovych Hlushchenko,M,22.0,187.0,73.0,Ukraine,2000,Summer,Sydney,Australia
Lars Hielscher,M,25.0,183.0,68.0,Germany,2004,Summer,Athina,Greece
"Joseph Jansson ""Jan"" Viviani",M,23.0,178.0,82.0,United States,2004,Summer,Athina,Greece
Pierre Jonqures d'Oriola,M,40.0,173.0,70.0,France,1960,Summer,Roma,Italy
Yu Geli,F,20.0,181.0,80.0,China,1996,Summer,Atlanta,United States
Diana Lobaevsk (Maciusonyt-),F,35.0,174.0,57.0,Lithuania,2016,Summer,Rio de Janeiro,Brazil
Adnan Ahmed,M,26.0,174.0,70.0,"Egypt, Arab Rep.",2004,Summer,Athina,Greece
Ernst-Joachim Kppers,M,22.0,196.0,98.0,Germany,1964,Summer,Tokyo,Japan
Park Jeong-Jin,M,24.0,185.0,90.0,"Korea, Rep.",2000,Summer,Sydney,Australia
Anke Baier-Loef,F,19.0,164.0,61.0,Germany,1992,Winter,Albertville,France
Daniela Pekov,F,24.0,168.0,52.0,Slovak Republic,2008,Summer,Beijing,China
Gongoryn Myeryei,M,24.0,178.7407407,72.30452675,Mongolia,1992,Winter,Albertville,France
Alexandra Sourla,F,31.0,163.0,60.0,Greece,2004,Summer,Athina,Greece
Elaine Tanner (-Watt),F,17.0,160.0,61.0,Canada,1968,Summer,Mexico City,Mexico
Jzef Grudzie,M,29.0,170.0,63.0,Poland,1968,Summer,Mexico City,Mexico
Salvador Vassallo,M,20.0,182.6772616,75.53694581,Puerto Rico,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Deng Yaping,F,23.0,150.0,53.0,China,1996,Summer,Atlanta,United States
Scott Michael Brennan,M,25.0,193.0,89.0,Australia,2008,Summer,Beijing,China
Yurie Alicia Kinoshita,F,29.0,175.0,69.0,Japan,1996,Summer,Atlanta,United States
Oleg Vitalyevich Maltsev,M,28.0,178.0,86.0,Russian Federation,1996,Summer,Atlanta,United States
Ramnas Vyniauskas,M,19.0,177.0,105.0,Lithuania,1996,Summer,Atlanta,United States
Elena Leutean-Popescu (-Teodorescu),F,29.0,162.0,58.0,Romania,1964,Summer,Tokyo,Japan
Nam Seung-Gu,M,20.0,168.0,64.0,"Korea, Rep.",1984,Summer,Los Angeles,United States
Anouchka Diane Etiennette,F,16.0,175.0,65.0,Mauritius,2004,Summer,Athina,Greece
Heidi Voelker,F,18.0,162.0,57.0,United States,1988,Winter,Calgary,Canada
Juana Katrin Drre-Heinig,F,34.0,170.0,57.0,Germany,1996,Summer,Atlanta,United States
Roman Kulesza,M,29.0,170.0,67.0,Poland,2012,Summer,London,United Kingdom
Markus Fuchs,M,49.0,168.0,73.0,Switzerland,2004,Summer,Athina,Greece
Oleg Rabota,M,18.0,179.0,72.0,Kazakhstan,2008,Summer,Beijing,China
Ftima Glvez Marn,F,29.0,165.0,60.0,Spain,2016,Summer,Rio de Janeiro,Brazil
Givi Chikvanaia,M,21.0,189.0,89.0,Russian Federation,1960,Summer,Roma,Italy
Faisal Karim,M,22.0,169.0,64.0,Pakistan,2004,Summer,Athina,Greece
Kim Seong-Mun,M,23.0,172.0,71.0,"Korea, Rep.",1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Francis Townley Haas,M,19.0,196.0,84.0,United States,2016,Summer,Rio de Janeiro,Brazil
John William Mulhall,M,26.0,165.0,62.0,United Kingdom,1964,Summer,Tokyo,Japan
Brian Clifford,M,16.0,185.0,85.0,Ireland,1972,Summer,Munich,Germany
Csilla Madarsz-Dobay (Bajnogel-),F,17.0,169.0,65.0,Hungary,1960,Summer,Roma,Italy
Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,2004,Summer,Athina,Greece
June Alexandra Croft,F,21.0,170.0,60.0,United Kingdom,1984,Summer,Los Angeles,United States
Christine Laprell,F,17.0,171.0,57.0,Germany,1968,Winter,Grenoble,France
"Christopher Joseph ""Chris"" Wilson",M,24.0,170.0,68.0,Canada,1992,Summer,Barcelona,Spain
Larsen Alan Jensen,M,22.0,185.0,88.0,United States,2008,Summer,Beijing,China
"Paulina Jacoba ""Pauline"" van der Wildt",F,20.0,177.0,73.0,Netherlands,1964,Summer,Tokyo,Japan
Ruslan Volodymyrovych Mezentsev,M,19.0,168.0,60.0,Ukraine,2000,Summer,Sydney,Australia
Jerzy Andrzej Krua,M,24.0,176.0,70.0,Poland,1968,Summer,Mexico City,Mexico
Aleksey Petrovich Aydarov,M,23.0,187.0,81.0,Belarus,1998,Winter,Nagano,Japan
"Amanda Jane ""Mandy"" Horsepool (-Worth)",F,20.0,166.592,60.8972973,United Kingdom,1980,Winter,Lake Placid,United States
Yoshiaki Hatakeda,M,24.0,170.0,72.0,Japan,1996,Summer,Atlanta,United States
Maria Epiph Ikelap,F,21.0,160.0,48.0,"Micronesia, Fed. Sts.",2008,Summer,Beijing,China
Janusz Adam Krelok,M,31.0,177.0,72.0,Poland,2006,Winter,Torino,Italy
Liaw Der-Cheng,M,19.0,180.0,71.0,China,1984,Summer,Los Angeles,United States
Ignas Navakauskas,M,26.0,180.0,90.0,Lithuania,2016,Summer,Rio de Janeiro,Brazil
Naji Heneine,M,18.0,177.4617706,76.87663646,Lebanon,1980,Winter,Lake Placid,United States
Charlotte Bredahl (-Baker),F,35.0,175.0,61.0,United States,1992,Summer,Barcelona,Spain
"Lutgarde ""Lut"" Thijs",F,22.0,168.0,65.0,Belgium,1984,Summer,Los Angeles,United States
Jo In-Cheol,M,20.0,180.0,81.0,"Korea, Rep.",1996,Summer,Atlanta,United States
Gong Lei,M,29.0,185.0,88.0,China,2012,Summer,London,United Kingdom
Marie Kristin Svensson,F,33.0,176.0,68.0,Sweden,2000,Summer,Sydney,Australia
Jun Gao (-Chang),F,35.0,168.0,73.0,United States,2004,Summer,Athina,Greece
Abdel Wahed Ben Siamar Mimun,M,27.0,180.0,70.0,Morocco,1968,Summer,Mexico City,Mexico
Nathalie Nicole Viviane Marchino Urrutia,F,35.0,170.0,63.0,Colombia,2016,Summer,Rio de Janeiro,Brazil
Drago Vukovi,M,25.0,194.0,90.0,Croatia,2008,Summer,Beijing,China
Giulia Quintavalle,F,25.0,174.0,59.0,Italy,2008,Summer,Beijing,China
Simon Duncan Terry,M,18.0,180.0,100.0,United Kingdom,1992,Summer,Barcelona,Spain
Antonio Massimiliano Scaduto,M,30.0,193.0,93.0,Italy,2008,Summer,Beijing,China
"Marie Helene ""Marie-Helene"" Westin-stlund",F,25.0,168.0,55.0,Sweden,1992,Winter,Albertville,France
Ashiakwei (-Ashikwe) Aryee (-Larega),M,20.0,166.0,71.0,Ghana,1996,Summer,Atlanta,United States
sa Nilla Maria Fischer,F,32.0,176.0,68.0,Sweden,2016,Summer,Rio de Janeiro,Brazil
"Robert Daniel ""Danny"" Nightingale",M,22.0,177.0,67.0,United Kingdom,1976,Summer,Montreal,Canada
Akinori Nakayama,M,29.0,163.0,59.0,Japan,1972,Summer,Munich,Germany
Kerson Hadley,M,19.0,171.0,50.0,"Micronesia, Fed. Sts.",2008,Summer,Beijing,China
"Michael Scott ""Mike"" McKay",M,39.0,192.0,91.0,Australia,2004,Summer,Athina,Greece
Willy Kanis,F,24.0,171.0,79.0,Netherlands,2008,Summer,Beijing,China
Nikos Kalofiris,M,23.0,178.5961538,72.15384615,Greece,1994,Winter,Lillehammer,Norway
Chou Yen-Sheng,M,37.0,172.0,64.0,China,1968,Summer,Mexico City,Mexico
"Sarah ""Sally"" Larner",F,15.0,153.0,41.0,United Kingdom,1984,Summer,Los Angeles,United States
Ophlie-Cyrielle Etienne,F,17.0,175.0,57.0,France,2008,Summer,Beijing,China
Shunji Murai,M,20.0,178.0,71.0,Japan,1960,Summer,Roma,Italy
Valery Anatolyevich Spitsyn,M,34.0,178.0,60.0,Russian Federation,2000,Summer,Sydney,Australia
Julian Anthony Robertson,M,26.0,182.0,73.0,United Kingdom,1996,Summer,Atlanta,United States
Ihor Anatoliyovych Razoronov,M,30.0,181.0,105.0,Ukraine,2000,Summer,Sydney,Australia
Eberhard Gienger,M,21.0,176.0,68.0,Germany,1972,Summer,Munich,Germany
Howard McNeal Burnett,M,27.0,193.0,72.0,Jamaica,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Florence Schelling,F,24.0,174.0,65.0,Switzerland,2014,Winter,Sochi,Russian Federation
Andrey Nikolayevich Bogdanov,M,18.0,185.7269036,78.89663951,Russian Federation,1976,Summer,Montreal,Canada
Sergey Vladimirovich Novikov,M,22.0,170.0,60.0,Belarus,2004,Summer,Athina,Greece
Anastasia Kelesidou,F,31.0,192.0,92.0,Greece,2004,Summer,Athina,Greece
Jonny Gabriel Mendoza Alvorado,M,21.0,168.0,51.0,"Venezuela, RB",2004,Summer,Athina,Greece
Petra Uhlig (Kahnt-),F,25.0,166.0,68.0,Germany,1980,Summer,Moskva,Russian Federation
Andrea Prono Snchez,F,16.0,167.0,51.0,Paraguay,2000,Summer,Sydney,Australia
Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,2000,Summer,Sydney,Australia
Yelena Valeryevna Chalykh,F,38.0,157.0,56.0,Azerbaijan,2012,Summer,London,United Kingdom
Mahmoud El-Messouti,M,20.0,164.1133005,58.091133,Syrian Arab Republic,1980,Summer,Moskva,Russian Federation
Emilian Foceneanu,M,26.0,177.4617706,76.87663646,Romania,1992,Winter,Albertville,France
Rolf Greger Strm,M,23.0,184.0,72.0,Norway,1964,Winter,Innsbruck,Austria
"Andrew ""Andy"" Capicik",M,28.0,170.0,63.0,Canada,2002,Winter,Salt Lake City,United States
Galal Touny,M,18.0,178.0,85.0,"Egypt, Arab Rep.",1968,Summer,Mexico City,Mexico
Karolina Chrapek,F,24.0,173.0,69.0,Poland,2014,Winter,Sochi,Russian Federation
"Valentyna Oleksandrivna ""Valj"" Semerenko",F,28.0,161.0,54.0,Ukraine,2014,Winter,Sochi,Russian Federation
Maynor Ren Suazo Antunez,M,21.0,180.0,73.0266582,Honduras,2000,Summer,Sydney,Australia
Katya Lazova (-Oracheva),F,18.0,171.0,62.0,Bulgaria,1968,Summer,Mexico City,Mexico
Ahti Toivanen,M,24.0,182.0,74.0,Finland,2014,Winter,Sochi,Russian Federation
Josef Egon Norbert Zimmermann,M,27.0,178.2291667,79.76388889,Austria,1960,Winter,Squaw Valley,United States
Maria Fernanda Moreira Ribeiro,F,35.0,161.0,48.0,Portugal,2004,Summer,Athina,Greece
Tu Kai-Wen,M,21.0,169.0,66.0,China,2012,Summer,London,United Kingdom
Eiko Wada,F,21.0,166.0,62.0,Japan,1960,Summer,Roma,Italy
John Peter Bicourt,M,30.0,176.0,68.0,United Kingdom,1976,Summer,Montreal,Canada
Mohamed Gharib Al-Zinkawi,M,26.0,180.0,113.0,Kuwait,1980,Summer,Moskva,Russian Federation
Szymon Zikowski,M,20.0,192.0,120.0,Poland,1996,Summer,Atlanta,United States
Dimitar Krastanov,M,22.0,181.0,71.0,Bulgaria,2016,Summer,Rio de Janeiro,Brazil
Sylwester Kubica,M,22.0,169.0,60.0,Poland,1972,Summer,Munich,Germany
Anna Elisabeth Kjellberg (-stling),F,28.0,172.0,62.0,Sweden,2012,Summer,London,United Kingdom
Evangelos Liogris,M,30.0,176.0,80.0,Greece,2004,Summer,Athina,Greece
Park Jeong-Hui,F,20.0,164.0,58.0,"Korea, Rep.",1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Edilson Rocha Tenrio,M,25.0,196.0,77.0,Brazil,1992,Summer,Barcelona,Spain
Markus Matti Juhani Lehto,M,21.0,174.0,83.0,Finland,1984,Winter,Sarajevo,Bosnia and Herzegovina
Raita Suzuki,M,28.0,168.0,52.0,Japan,2000,Summer,Sydney,Australia
Carlos Javier Weber,M,30.0,180.0,77.0,Argentina,1996,Summer,Atlanta,United States
Irina Vladimirovna Pomelova,F,22.0,173.0,67.0,Belarus,2012,Summer,London,United Kingdom
Marcela Fabiana Richezza,F,23.0,163.0,62.0,Argentina,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
"Nikolaos ""Nikos"" Kaklamanakis",M,27.0,177.0,70.0,Greece,1996,Summer,Atlanta,United States
"Maria Margaretha Antje ""Marja"" Vis",F,25.0,167.6119403,61.53383459,Netherlands,2002,Winter,Salt Lake City,United States
Adrian Stephen Breton,M,25.0,170.0,73.0,United Kingdom,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Julia Ludwika Michalska,F,23.0,179.0,69.0,Poland,2008,Summer,Beijing,China
Im Ri-Bin,M,15.0,168.0,52.0,"Korea, Dem. People’s Rep.",1984,Winter,Sarajevo,Bosnia and Herzegovina
Mete Binay,M,27.0,172.0,69.0,Turkey,2012,Summer,London,United Kingdom
Justo Carlos Albarracn,M,45.0,176.0,73.0,Argentina,1996,Summer,Atlanta,United States
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,2016,Summer,Rio de Janeiro,Brazil
Dennis Ombachi,M,21.0,185.0,98.0,Kenya,2016,Summer,Rio de Janeiro,Brazil
Laura Spector,F,22.0,152.0,50.0,United States,2010,Winter,Vancouver,Canada
Mark Stephen Thinggaard Hulstrm,M,26.0,181.0,92.0,Denmark,1992,Summer,Barcelona,Spain
Linley Margaret Frame (-Anstey),F,20.0,169.973306,60.3755144,Australia,1992,Summer,Barcelona,Spain
Margarita Kalmikova,F,20.0,168.0,62.0,Latvia,2000,Summer,Sydney,Australia
Yasushi Kuroiwa,M,22.0,174.0,71.0,Japan,1988,Winter,Calgary,Canada
Evald Voldemar Gering,M,42.0,179.0,86.0,Canada,1960,Summer,Roma,Italy
Roberto Carceln,M,43.0,174.0,75.0,Peru,2014,Winter,Sochi,Russian Federation
Koko Tsurumi,F,15.0,141.0,34.0,Japan,2008,Summer,Beijing,China
Senda Al-Gharbi,F,21.0,162.0,58.0,Tunisia,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Ding Meiyuan,F,20.0,168.0,102.0,China,2000,Summer,Sydney,Australia
Daniel Winkler,M,26.0,171.0,70.0,Germany,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Ahn Jin-Soo,M,24.0,178.0,70.0,"Korea, Rep.",1998,Winter,Nagano,Japan
Loucif Hamani,M,22.0,175.0,71.0,Algeria,1972,Summer,Munich,Germany
Luke Andrew Bodensteiner,M,23.0,185.0,79.0,United States,1994,Winter,Lillehammer,Norway
Eduardo Barragan,M,21.0,160.0,52.0,Colombia,1972,Summer,Munich,Germany
Bla Herczeg,M,21.0,169.0,59.0,Hungary,1968,Summer,Mexico City,Mexico
Brenton Scott Rickard,M,28.0,194.0,92.0,Australia,2012,Summer,London,United Kingdom
Antonio Tartaglia,M,26.0,188.0,103.0,Italy,1994,Winter,Lillehammer,Norway
Asuka Teramoto,F,16.0,145.0,37.0,Japan,2012,Summer,London,United Kingdom
Roman Novotn,M,26.0,180.0,73.0,Czech Republic,2012,Summer,London,United Kingdom
Rustam Khalimdzhanovych Sharipov,M,25.0,163.0,61.0,Ukraine,1996,Summer,Atlanta,United States
Pter Biros,M,32.0,196.0,102.0,Hungary,2008,Summer,Beijing,China
Gaurika Singh,F,13.0,155.0,45.0,Nepal,2016,Summer,Rio de Janeiro,Brazil
Herta Anita,F,26.0,183.0,82.0,Romania,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Lai Chu-Long,M,22.0,167.0,58.0,China,1964,Summer,Tokyo,Japan
Mara Pelez Navarrete,F,14.0,168.0,60.0,Spain,1992,Summer,Barcelona,Spain
Yury Mikhaylovich Ivanov,M,27.0,170.0,66.0,Russian Federation,1980,Winter,Lake Placid,United States
Rafa Marek Szukaa,M,25.0,182.0,74.0,Poland,1996,Summer,Atlanta,United States
Francisco Fbregas Bosch,M,19.0,177.0,74.0,Spain,1968,Summer,Mexico City,Mexico
Didier Pais,M,29.0,168.0,60.0,France,2012,Summer,London,United Kingdom
Fritz Inthaler,M,23.0,179.0,72.0,Austria,1960,Summer,Roma,Italy
Miguel ngel Ochoa Vaca,M,24.0,174.0,72.0,Spain,1968,Summer,Mexico City,Mexico
Ali Abdel Sami,M,28.0,188.1523126,85.32695375,"Egypt, Arab Rep.",1964,Summer,Tokyo,Japan
Marta Portoblanco,F,25.0,155.0,48.0,Nicaragua,1996,Summer,Atlanta,United States
Anne Jahren,F,24.0,176.0,59.0,Norway,1988,Winter,Calgary,Canada
Alina Sergeyevna Raykova,F,22.0,168.0,56.0,Kazakhstan,2014,Winter,Sochi,Russian Federation
Charles Favre,M,31.0,170.0,70.0,Switzerland,1992,Summer,Barcelona,Spain
Maria Rentoumi,F,22.0,174.0,69.0,Greece,2004,Summer,Athina,Greece
Paul-Peter Hildgartner,M,27.0,178.0,79.0,Italy,1980,Winter,Lake Placid,United States
"Leslie George ""Les"" West",M,24.0,178.0,70.0,United Kingdom,1968,Summer,Mexico City,Mexico
Kenichi Suzuki,M,27.0,188.0,126.0,Japan,1996,Summer,Atlanta,United States
Mario Nez Garca,M,28.0,174.0,83.0,Spain,2008,Summer,Beijing,China
Yukio Makino,M,32.0,184.0,78.0,Japan,2012,Summer,London,United Kingdom
Andrs Bicocca,M,24.0,178.0,75.0,Argentina,2000,Summer,Sydney,Australia
Didier Flament,M,29.0,170.0,69.0,France,1980,Summer,Moskva,Russian Federation
"Caitlin A. ""Kitty"" Carruthers (-Conrad)",F,22.0,152.0,44.0,United States,1984,Winter,Sarajevo,Bosnia and Herzegovina
Mihai Claudiu Covaliu,M,30.0,181.0,73.0,Romania,2008,Summer,Beijing,China
Masaru Inada,M,23.0,174.0,82.0,Japan,2002,Winter,Salt Lake City,United States
Hanna-Maria Seppl,F,15.0,174.0,59.0,Finland,2000,Summer,Sydney,Australia
Louis Domenico Giani,M,26.0,170.0,62.0,United States,1960,Summer,Roma,Italy
Christopher Charles Church,M,24.0,170.0,73.0,United Kingdom,1964,Summer,Tokyo,Japan
Stella Ngozi Umeh,F,17.0,153.0,46.0,Canada,1992,Summer,Barcelona,Spain
Seppo Henrik Rty,M,34.0,190.0,105.0,Finland,1996,Summer,Atlanta,United States
Masako Hozumi,F,23.0,162.0,57.0,Japan,2010,Winter,Vancouver,Canada
Eoin Collins,M,23.0,193.0,86.0,Ireland,1992,Summer,Barcelona,Spain
Bianca Natasja van der Velden,F,32.0,170.0,56.0,Netherlands,2008,Summer,Beijing,China
Ali Ahmed Youssef Zaid,M,20.0,168.0,58.0,Afghanistan,1960,Summer,Roma,Italy
Hannelore Hradez (Huber-),F,31.0,175.0,69.0,Austria,1972,Summer,Munich,Germany
Ivars Brzups,M,21.0,183.0,86.0,Russian Federation,1984,Winter,Sarajevo,Bosnia and Herzegovina
Anton Igorevich Shantyr,M,22.0,183.0,75.0,Russian Federation,1996,Summer,Atlanta,United States
Carl Williams,M,27.0,195.0,110.0,New Zealand,2008,Summer,Beijing,China
"Pieter Carel Cornelis ""Piet"" van der Touw",M,19.0,183.0,80.0,Netherlands,1960,Summer,Roma,Italy
Hugo Walser,M,24.0,185.0,67.0,Liechtenstein,1964,Summer,Tokyo,Japan
Adrian Krainer,M,21.0,186.0,75.0,Austria,2014,Winter,Sochi,Russian Federation
Anne Kathryn Schleper,F,24.0,178.0,77.0,United States,2014,Winter,Sochi,Russian Federation
Juan Daniel Pirn,M,18.0,183.0,76.0,Argentina,1976,Summer,Montreal,Canada
Dieter Fromm,M,20.0,178.0,65.0,Germany,1968,Summer,Mexico City,Mexico
Marcia Arriaga Larrinua,F,16.0,168.0,58.0,Mexico,1972,Summer,Munich,Germany
Mirela Ana Paca,F,17.0,155.8404605,47.33762458,Romania,1992,Summer,Barcelona,Spain
Arja Leena Kantola (-Klemz),F,18.0,167.0,54.0,Finland,1968,Winter,Grenoble,France
Petra Priemer (-Brinkmann),F,15.0,175.0,68.0,Germany,1976,Summer,Montreal,Canada
Caterina Chiara Bosetti,F,18.0,179.0,59.0,Italy,2012,Summer,London,United Kingdom
Motoharu Hirano,M,44.0,170.0,88.0,Japan,1984,Summer,Los Angeles,United States
Derek Owen Froude,M,25.0,182.0,64.0,New Zealand,1984,Summer,Los Angeles,United States
Valentyna Hryhorivna Myshak (-Voloshchuk),F,22.0,182.0,70.0,Russian Federation,1964,Summer,Tokyo,Japan
Magda Genuin,F,22.0,173.0,62.0,Italy,2002,Winter,Salt Lake City,United States
Michael Neumayer,M,31.0,180.0,60.0,Germany,2010,Winter,Vancouver,Canada
Florent Caelen,M,27.0,175.0,54.0,Belgium,2016,Summer,Rio de Janeiro,Brazil
Jaume Fort Mauri,M,29.0,182.0,83.0,Spain,1996,Summer,Atlanta,United States
Ibrahim El-Bakh,M,31.0,172.0,83.0,"Egypt, Arab Rep.",1992,Summer,Barcelona,Spain
Jean-Frdric Chapuis,M,24.0,172.0,83.0,France,2014,Winter,Sochi,Russian Federation
Mrta Egervry,F,25.0,163.0,66.0,Hungary,1968,Summer,Mexico City,Mexico
JohnCheruiyot Korir,M,22.0,172.0,57.0,Kenya,2004,Summer,Athina,Greece
Olga Alekseyevna Zaytseva (-Augustin),F,23.0,168.0,66.0,Russian Federation,2002,Winter,Salt Lake City,United States
Johanna Annikki Ikonen,F,29.0,165.0,63.0,Finland,1998,Winter,Nagano,Japan
Mara Lpez de Eguilaz Zubiria,F,32.0,164.0,56.0,Spain,2016,Summer,Rio de Janeiro,Brazil
"Wilhelmina Catharina Maria Martina ""Wilma"" van Gool-van den Berg",F,21.0,165.0,59.0,Netherlands,1968,Summer,Mexico City,Mexico
Tan Anqi,F,23.0,175.0,67.0,China,2010,Winter,Vancouver,Canada
"Michael ""Mike"" Barry",M,22.0,165.0,57.0,Canada,1976,Summer,Montreal,Canada
Marcelina Ireny Kiala,F,32.0,178.0,70.0,Angola,2012,Summer,London,United Kingdom
Hana Majaj,F,17.0,165.0,52.0,Jordan,2000,Summer,Sydney,Australia
Paula Ioan,F,17.0,162.0,55.0,Romania,1972,Summer,Munich,Germany
"Stephen J. ""Steve"" Poulter",M,23.0,190.0,79.0,United Kingdom,1984,Summer,Los Angeles,United States
Rose Hart,F,22.0,170.0,61.0,Ghana,1964,Summer,Tokyo,Japan
Kim Seong-Mun,M,21.0,179.0,75.0,"Korea, Rep.",1984,Summer,Los Angeles,United States
Eva Kristina Wikstrm (-Biedron),F,24.0,162.0,52.0,Sweden,1992,Summer,Barcelona,Spain
Ptur Gumundsson,M,30.0,193.0,125.0,Iceland,1992,Summer,Barcelona,Spain
Vreni Inbnit,F,19.0,168.0,57.0,Switzerland,1968,Winter,Grenoble,France
Roman Polom,M,29.0,182.0,96.0,Czech Republic,1996,Summer,Atlanta,United States
