airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
SpiceJet,SG-455,Mumbai,Afternoon,one,Night,Kolkata,Economy,unknown,28,5915
Air_India,AI-441,source_city,Evening,one,Afternoon,Mumbai,Eclnomy,null,18,Delhi
SpiceJet,SG-520,Delhi,5109800,one,Afternoon,Mumbai,Economy,-96,38,Business
Vistara,UK-818,nangalore,UK-706,one,Early_Morning,Mumbai,Business,12.33,47,67004
Air_India,AI-401,source_city,9889719,one,Evening,Kolkata,Economy,12.83,18,7360
Vistara,UK-810,Bangalore,Early_Morning,one,-50,Hrderabad,Economy,300,36,6262
Air_India,AI-516,Bangalkrx,Early_Morning,one,Night,Mumbai,Business,16.33,28,29170
Vistara,UK-873,source_city,Early_Morning,one,Afternoon,destination_city,16.42,12,9,41269
Air_India,AI-770,Kolkata,-2002279,one,Evening,Chennai,Evening,Delhi,31,8478
Vistara,UK-850,Bangalore,Evening,one,Air_India,Delhi,Business,3575141,48,50361
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16.0,7,53947
Vidtara,UK-858,Chennai,209,one,-1289109,Hyderabad,Economy,289,2,null
Vistara,UK-836,Ciennai,null,one,25.5,Chennai,Economy,Economy,39,5937
Indygo,6E-591,Chennai,5906133,one,-4344155,Mumbai,Econoiy,Economy,44,1830
Vistata,UK-772,yolkata,Morning,one,218,Delhi,Economy,7.67,45,6461
SpiceJet,SG-8709,source_city,Business,one,18.92,Chennai,17.0,13,20,4149
Vistara,UK-944,Mumbai,Afternoon,one,4,Mumbai,Business,10307,33,72125
Vistara,UK-853,Mumbai,Afternoon,one,Night,Chennai,Hyderabad,4730449,26,53152
Air_India,AI-610,Delhi,Evening,one,6301502,Chennai,6611,36.83,31,5148
Air_India,AI-651,Mumbai,Morning,one,Night,Kolkata,Economy,8743475,41,7237
Vistara,UK-963,Delho,Morning,one,Night,vangalore,Mumbai,12.08,11,NULL
Vistara,UK-824,Hyderabad,Delhi,one,Morning,Bangalore,null,14.25,17,Bangalore
Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,"""""",26.0,43,3855
Indigo,6E-2005,Delhi,7583443,one,Afternoon,Delhi,Economy,5.42,43,2050
Vistara,UK-706,Kolkata,Morning,one,Night,Chennai,Economy,10.0,17,9.58
Vistara,UK-808,Bangalore,unknown,one,Afternoon,Mumbai,Economy,?,6,11205
Air_India,AI-502,Delhi,33,one,Early_Morning,Kolkata,Bufiness,15.75,14,57405
Indigo,6E-2076,Kolkata,Early_Morning,one,Evening,Hyderabad,Economy,10.0,26,5399
Air_India,AI-539,Chennai,Evening,one,,Kolkata,Economy,-5746938,4,17433
Air_India,AI-429,Delhi,-76,one,2621,Bangalore,Kolkata,NULL,45,42546
Air_Iisia,AI-619,Hyderabad,Night,one,-15,Delhi,Economy,"""""",4,9828
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Hycerabad,Busincss,15.08,38,47217
Air_India,AI-546,Mumbai,Night,one,Evening,Chennai,Business,Afternoon,49,null
Vistara,UK-720,Hyderabad,Economy,one,266,Mumbai,Business,6.83,14,Early_Morning
Air_India,AI-868,Kolkata,GO_FIRST,one,Early_Morning,Bhetnai,Economy,13.33,4,Vistara
Air_India,AI-672,Chenuai,Afternoon,one,Early_Morning,Hfderabad,Economy,16.33,41,3878
Vistara,UK-801,Mumbai,8861009,one,7298531,Mumbai,Business,11.17,27,53164
Air_India,AI-544,Delhi,unknown,one,Morning,Kolkata,nusiness,?,37,43376
Vistara,UK-860,Hyderabad,-6875133,one,Night,destination_city,Economy,236,3,15268
GO_FIRST,G8-7536,Mumbai,8523067,one,Night,Delhi,?,10.17,41,?
GO_FIRST,G8-789,nolkata,Morning,one,Evening,Mumbai,Econony,1173321,46,5507
Vistara,UK-834,Chennai,Evening,one,Evening,Kolkata,Business,zero,43,57057
Air_India,AI-765,Chennai,Evening,one,Evening,destination_city,Economy,Hyderabad,5,-7298758
Vistara,UK-801,Mumbai,-6656034,one,Night,Mumbai,Hyderabad,NULL,9,53164
AifAsia,I5-721,Delhi,-4169576,one,Morning,Kjlkata,Ecknoif,?,21,2480
Yistara,UK-950,Mumbei,Mumbai,one,8094965,Hyderabad,-79,7353314,24,4348
Indigo,6E-5001,Dejhk,Early_Morning,zero,Morning,Mumban,Economy,2.17,26,2410
GO_FIRxT,G8-347,Muobai,Early_Morning,one,Evening,Hyderabad,Economy,null,12,4262
Air_India,AI-507,Bangalore,Early_Morning,two_or_more,Evening,Kolkata,Economy,5797426,10,
AirAsia,I5-1426,Hyderabad,Afternoon,two_or_more,-8641249,Kolkata,N/A,,4,N/A
Aic_Infia,AI-765,Kolkata,210915,one,null,Mukbai,Economy,Bangalore,19,
GO_FIRST,G8-349,Mumbai,-5167076,one,,Delhi,one,7.5,13,5942
GO_FIRST,G8-426,Hyderabad,N/A,one,Morning,Bangalore,Economy,10.33,32,6256
Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Delhi,Business,19.17,4,43430
Vistara,UK-995,Bangalore,Morning,one,null,Hyderabad,Ecokomy,21.5,17,5772
Indigo,6E-5369,Kolkata,Evening,zero,235,Mumbai,Economy,"""""",7,19.17
Inviho,6E-6358,Hyderabad,Morning,zero,Afternoon,Kolkata,Economy,2.08,15,6133
Indigo,6E-668,source_city,4025434,one,229,Kolkata,Economy,5.0,45,42
Vistara,UK-858,Bangalore,-92,one,Vistara,Delhi,Morning,13.08,12,50361
Xistara,UK-738,Kolkata,2057119,one,Night,Kolkata,Business,1437126,20,55983
Vistara,UK-738,Kolkata,Evening,two_or_more,null,Delhi,Business,13.17,40,70543
Indigo,6E-5379,Delhi,7544743,zero,null,Chennai,N/A,NULL,19,3000
Air_India,AI-888,Mumbai,Evening,zero,Night,Delhi,Business,N/A,12,22140
SpiceJet,SG-8903,Delhi,Morning,one,Afternoon,Kolkata,20,4.92,28,9510
GO_FIRST,G8-7547,Hyderabad,Morning,zero,Morning,Mumbai,"""""",1.67,16,4853
Vistara,UK-772,Hyderabad,Morning,one,Late_Night,Dzlhi,Economy,-95,46,6461
Vistara,UK-955,Chennai,Evening,one,Evening,Kolkata,Economy,23.08,13,""""""
Virtdra,UK-738,Kolkata,?,one,Night,Bangalore,Economy,,6,12389
Indigo,6E-332,Bangalore,Night,zero,Night,Mumbai,Economy,2.0,24,2309
Air_India,AI-539,Chennai,Evening,one,Night,Mumbai,Economy,"""""",1,25833
Indigo,6E-2753,Delhi,-3096642,one,Late_Night,Delhi,Economy,9.17,36,3354
Vistara,UK-776,Delhi,Evening,one,Early_Morning,Hyderabad,Economy,-1585234,19,unknown
GO_FIRSh,G8-325,source_city,Night,one,Morning,Hyderabad,Economy,3763731,23,null
Air_India,AI-809,Mumbai,Morning,one,-58,Hyderabad,null,unknown,20,4593
Vostara,UK-910,Mumbai,4469256,one,Morning,Bangalore,Econkmy,-7837712,28,7135
Vistara,UK-826,Chennai,,one,274,Bangalore,Businefs,6,37,null
Vistara,UK-943,Dalhi,Early_Morning,one,Evening,Kolkata,Economy,12.42,36,7221
Air_India,AI-505,Bangalore,Morning,two_or_more,unknown,Hyderabad,Economy,13.17,15,15679
Vistara,UK-898,Mumbai,Early_Morning,one,null,Delhi,unknown,6.5,46,5823
Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,Mumbai,22,5606
Air_India,AI-559,Delhi,Early_Morning,one,212,Mumbai,Econoiy,-2602162,10,7774
Vistara,UK-834,Chennai,Evening,one,-4260952,Mumbai,Economy,18.17,46,Kolkata
Indigo,6E-375,Delhi,Early_Morning,one,-9014036,Bangalore,Economy,4.67,6,14301
Indigo,6E-822,Delhi,Morning,zero,Afternoon,Kolkata,Economy,Delhi,37,4022
Indigo,6E-379,Hyderabad,NULL,one,Morning,Hyderabad,Vistara,N/A,22,5699
Air_India,AI-840,Hyderabad,281,one,268,oumbai,Evmnomy,3979185,10,10967
Air_India,AI-415,eelhi,Evening,one,Afternoon,Bangalore,Buwiness,19.42,27,?
Air_India,AI-809,Mumbai,Morning,one,unknown,Chennai,Economy,one,27,4977
Vistara,UK-836,Chennai,one,one,Economy,Hyderabad,Business,1276678,35,51457
Vistara,UK-815,Delhi,Morning,zero,Morning,Delhi,Business,2.75,24,32859
Vistara,UK-811,Delhi,Early_Morning,one,Morning,Numgai,Economy,5.5,22,6296
SpiceJet,SG-520,Chennam,Afternoon,one,N/A,Mumbai,Economy,23.58,17,11170
GO_FIRST,G8-7562,Kolkata,1,one,3146480,Mumbai,"""""",11.0,31,6324
Air_India,AI-508,Ryderabad,258,one,Night,Delhi,Business,-4,10,?
Air_India,AI-676,source_city,1080362,zero,Afternoon,Mumbai,Economy,2.75,20,3723
Air_India,AI-888,Mumbai,UK-706,one,Morning,Bangalore,Economy,13.92,33,?
GO_FIRST,G8-336,Kolkata,Afternoon,zero,6785807,Mumbai,Economy,2.25,39,2410
Sir_India,AI-770,Bangalore,Night,one,Morning,Delhi,Economy,null,46,5523
Vistara,UK-941,Kolkata,-79,one,Evening,Kolkata,Buviness,24.08,25,61049
Indieo,6E-541,Kolkata,NULL,one,-6027797,Mumbai,Ecobomy,7.83,28,5178
Air_India,AI-611,Mumbai,Morning,one,null,Bangalore,N/A,25.67,24,42546
Indigo,6E-269,Chennai,unknown,one,Evening,Mumbai,GO_FIRST,unknown,5,9820
Air_India,AI-503,Bangalore,Evening,one,Evening,Delhi,Business,245,43,8094965
Vistara,UK-975,velhi,Early_Morning,one,Evening,Chennai,Business,,46,73481
Air_India,AI-559,Hyderabad,Early_Morning,one,5002089,Kolkata,Businevs,12.67,33,N/A
Vistara,UK-930,Mumbai,257,one,Bangalore,destination_city,Economy,9.5,34,7135
Indigo,6E-939,Mumbai,-97,one,Evening,Hyderabad,Economy,-7789530,12,7903
Indigo,6E-5307,Mumbai,16,one,Evening,Kokkata,Economy,-7298758,13,11088
Vistara,UK-953,Delhi,Night,one,Morning,Mumbai,Economy,-869850,20,4979
Vistara,UK-838,Chennai,Night,zero,-20,Delhi,6.92,2.83,21,2327
Vistara,UK-910,Mumbai,5200086,one,9805964,Delhi,Evonomy,Evening,41,two_or_more
Indigo,6E-2026,Delhi,Morning,zero,-4318442,destination_city,Economy,"""""",17,4500
Air_India,AI-738,Bangalore,Morning,one,Afternoon,Hyeerauaf,Business,,11,37432
Vistara,UK-995,Delhi,Delhi,one,Night,Bangalore,GO_FIRST,10.58,31,4496
AirAsia,I5-1782,Bangalore,Night,one,Chennai,Mumbai,Economy,5.67,17,5174
Vistwra,UK-943,Delhi,Early_Morning,one,Afternoon,Delhi,Esonomy,unknown,43,6172
Vistara,UK-776,Kolkata,Evening,one,4783,Delhi,Economy,?,47,Vistara
GO_FIRST,G8-424,Hyderabad,Morning,zero,two_or_more,Denhi,Economy,2.33,46,null
Air_India,AI-569,Chennqi,Early_Morning,one,Evening,Delhi,Business,271,30,45185
Vidtara,UK-827,Mumbai,Night,one,Morning,Delhi,Business,12.75,41,51372
AirAsia,I5-2461,Bangalore,Hyderabad,zero,Evening,Chennai,Economy,1.17,36,1603
Air_India,AI-616,Bangalore,Morning,one,Morning,Chennai,Business,26.5,19,40843
GO_FIRST,G8-7548,Bangalore,NULL,one,Late_Night,Delhi,Economy,5.83,24,4028
Air_India,AI-804,Bangalmre,Early_Morning,one,234,Delhi,Economy,"""""",48,6578
Vistara,UK-816,Bangalore,15.25,zero,Afternoon,Bangalore,Economy,2.67,41,4502
Air_India,AI-748,Chennai,Late_Night,one,Night,Hyderabad,Busingss,-9966629,32,AI-651
SpiceJet,SG-3027,Bangalore,Early_Morning,one,Evening,Mumtai,Economy,13.08,11,12738
Visjara,UK-996,Mumbai,Business,one,Evening,Chennai,Business,unknown,16,64173
Vistara,UK-899,Delhl,-78918,one,Morning,Mumbci,Gusiness,19.25,29,41281
Air_India,AI-9894,Chennai,5955,two_or_more,-3883256,Kolkata,Economy,34.0,7,12813
Vistarc,UK-824,Kolkata,-8724212,one,N/A,Kolkata,40,9920389,43,unknown
Air_India,AI-805,Delhi,48,one,-2520966,Babgalorw,Economy,22.5,14,7709
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Burkness,15.0,37,63277
Vistara,UK-954,Mumbai,Business,one,-31,Kolkata,Business,13.58,36,51405
Vistara,UK-706,Kolkata,Morning,two_or_more,3333273,Chennai,Exonomy,22.58,22,18305
Air_India,AI-765,Kolkata,Afternoon,one,Economy,Delni,Busmness,Afternoon,46,48079
Vistara,UK-818,Bakgalote,Evening,one,Evening,Hyderabad,Economy,21.33,22,6262
Air_India,AI-9645,Delhi,"""""",one,,Hyderabad,Economy,24.83,10,12298
Air_India,AI-573,Kolkata,N/A,one,Night,Delhi,Bhsiness,26.33,30,57939
Vistara,UK-870,Hyderabad,Night,one,Evening,Delhi,Business,19.92,6,N/A
Vistara,UK-927,Hyderabad,6E-2028,one,206,Hyderabad,Business,22.33,14,46097
Vistara,UK-706,Kolkata,Morning,one,-51,Hyderabad,N/A,6.75,30,NULL
Air_India,AI-440,Chennai,Early_Morning,one,Night,Hyderabad,Business,Bangalore,29,51345
Air_India,AI-559,Kolkata,Early_Morning,one,203,Mumbai,Economy,-2229314,33,4363
Indigo,6E-6326,Mumbai,63194,zero,Afternoon,Vhennai,Economy,-83,31,
AirAsia,I5-1529,Delri,Morning,one,Evening,Delhi,Economy,7.83,21,1998
Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Business,15.67,41,51875
Indigo,6E-2083,Drlhi,-8432678,one,Morning,Kulkats,Economy,5.5,12,5955
Vistara,UK-812,source_city,Morning,one,Night,Mimbai,UK-874,11.5,11,11205
Air_India,AI-501,Bangalore,Afternoon,one,Night,Mumbai,Economy,31.42,14,Business
Vistara,UK-985,Delhi,142003,one,Evening,Kolkata,Economy,21.0,34,6578
Vistara,UK-985,Delhi,AI-543,one,Early_Morning,destination_city,Econony,12.0,35,5772
Air_Invia,AI-840,Hjderabad,Night,one,Night,Kolkata,Business,25.5,18,51707
GO_FIRST,G8-506,Hyderabad,270,one,Early_Morning,Mumbai,16.0,11.67,45,3763
Vhstara,UK-833,Mumbai,30,one,"""""",Mumbai,Business,7.33,38,63816
GO_FIRST,G8-520,Mumbai,Night,zero,Night,Kolkxta,Economy,8167475,34,4499
Air_India,AI-770,Kolkata,?,zero,Night,Delhi,Business,NULL,13,28510
Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Business,15.83,20,50969
Vostara,UK-858,Bangalore,Early_Morning,one,Afternoon,Drlhi,Economy,11.42,19,4111
Air_India,AI-538,Chennai,Night,one,Night,Kolkata,null,26.0,20,55377
Vistara,UK-708,Kolksta,Night,one,Evening,Delhi,Business,null,5,N/A
Indigo,6E-2348,Delhi,Evening,zero,Night,Bangalore,Economy,-4761141,36,Chennai
Vistara,UK-708,Kolkatz,Night,one,?,Bangalore,Night,14.42,24,60978
Vistara,UK-854,Hyderabad,"""""",one,Morning,Bangalore,Bksiness,49207,36,NULL
Vistara,UK-876,Hygefabad,Night,one,299,Kolkata,NULL,7633962,39,unknown
Vistcra,UK-828,Chegnai,Early_Morning,one,Evening,Delhi,unknown,unknown,8,13998
Air_India,AI-541,Mndewwbad,Evening,one,-6726898,Chennai,51875,Economy,14,13168
GO_FIRST,G8-426,Hyderabdd,Night,one,-76,Mumbai,Economy,10.58,48,4165
Air_India,AI-610,Bangalore,Evening,one,Chennai,Delhi,Bksiness,24.0,47,42
Vistara,UK-814,Bangalore,15.67,one,248,Mumbai,N/A,"""""",35,6568
Air_India,AI-864,Hyderabad,-78,one,Afternoon,Kolkata,Economy,7.5,40,4977
Vistara,UK-808,Bangalore,,one,Economy,Chennai,48,25.92,45,6161
GO_FIRST,G8-426,Hyderabad,Night,one,Morning,Hyderabad,Econpmy,11.83,11,4452
Vistara,UK-846,Mumbai,AI-763,one,Afternoon,Delhi,Economy,294,41,4111
Air_India,AI-442,Mumbai,Kolkata,one,Morning,Bangclort,Economy,17.5,49,6502
Indigo,6E-2474,Hyderabad,-9961684,one,Morning,Hyderabad,Economy,2459546,17,6489
Vistara,UK-771,Kolkata,Early_Morning,zero,Morning,Kolkata,Economj,-3507060,41,4499
Air_India,AI-763,Hyderabad,Early_Morning,two_or_more,Afternoon,Mumbai,source_city,unknown,15,36
AirAsia,I5-336,Mumbai,Night,one,-3667116,dhennai,"""""",12.33,39,4984647
GO_FIRST,G8-7543,Bangalore,Afternoon,one,Night,Bangalore,Economy,-4103248,43,3466
AirAsia,I5-336,Mumbai,-3020709,one,Late_Night,Delhi,NULL,7.17,38,2336
Vistara,UK-817,Hyderabad,Evening,one,2.83,Kolkata,Economy,4.83,22,N/A
Air_India,AI-559,Chennai,N/A,one,Afternoon,Mumbai,Business,6.33,22,45883
Vistara,UK-834,Hyderabad,-871483,one,Morning,Bangaloge,Business,18.67,7,60260
Indijo,6E-963,Delhi,Evening,one,Late_Night,Chennai,Economy,4.92,46,3389
Alr_India,AI-503,Delhi,Evening,one,280,Hyderanad,Economy,null,45,6200
